일련번호,최대승객수,최대선원수,출입항명,낚시어선영업구역명,낚시어선영업장소명,영업장소특수주소
1,6,1,해제면 용학리 마실선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,
2,6,1,운남면 성내리 남촌선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌선착장,
3,4,1,무안군 현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
4,11,1,무안군 현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
5,5,1,망운면 탄도리 탄도선착장,전라남도  연안일원,전라남도 무안군 망운면 탄도리 탄도선착장,
6,4,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
7,6,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
8,5,1,장고항항,충청남도해상일원,충청남도해상일원(안섬포구),
9,5,1,장고항항,충청남도해상일원,충청남도해상일원(안섬포구),
10,6,1,장고항항,충청남도해상일원,충청남도해상일원,
11,7,1,장고항항,충청남도해상일원,충청남도해상일원(안섬포구),
12,3,1,현경면 오류리 홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
13,4,1,현경면  홀통선착장,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통선착장,홀통선착장
14,3,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
15,6,1,현경면 오류리 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,
16,6,1,운남면 성내리 남촌항,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌항,
17,3,1,망운면 송현리 송현선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 송현선착장,
18,3,1,46840370,전남연해일원,무안군해역,
19,3,1,운남면,전남,전남 무안군,
20,5,1,46840370,무안군,무안군 운남면,
21,3,1,46840370,무안군,무안군 운남면,
22,4,1,청계면 복길항,전라남도  연안일원,전라남도 무안군 청계면 복길리 복길항,복길항
23,4,1,운남면 도원선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 도원선착장,도원선착장
24,4,1,운남면 남촌선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌선착장,남촌선착장
25,6,1,해제면 마실 선착장,전라남도  연안일원,전라남도 무안군 해제면 용학리 마실선착장,마실선착장
26,6,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
27,11,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
28,5,1,현경면 홀통항,전라남도  연안일원,전라남도 무안군 현경면 오류리 홀통항,홀통항
29,3,1,청계면 복길항,전라남도  연안일원,전라남도 무안군 청계면 복길리 복길항,복길항
30,6,1,창매 선착장,전라남도  연안일원,전라남도 무안군 해제면 창매리,
31,3,1,망운면 조금나루선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루선착장,조금나루선착장
32,7,1,망운면 조금나루 선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리 조금나루 선착장,조금나루 선착장
33,3,1,망운면 조금나루 선착장,전라남도  연안일원,전라남도 무안군 망운면 송현리,
34,5,1,운남면 남촌선착장,전라남도  연안일원,전라남도 무안군 운남면 성내리 남촌선착장,남촌선착장
35,7,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
36,16,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
37,11,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
38,11,1,궁항,전라북도  연안일원,전라북도 부안군 변산면 (궁항),
39,17,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
600,4,1,위도면,,,
40,17,1,격포항,전라북도  연안일원,전라북도 부안군 변산면 (격포항),
41,14,1,"위도항, 격포항",전라북도  연안일원,,
42,16,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
43,17,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
44,14,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
45,11,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
46,7,1,위도항,전라북도  연안일원,"전라북도 부안군 위도면 (위도항,격포항)",
