aliasId,sourceName,canonicalName,internalId,scientificName,aliasType,status,confidence,evidenceCount,reviewBatch,createdAt,updatedAt
ALIAS-000001,가다랑어,,BM-SPECIES-000412,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000002,가다랑어류,가다랑어,BM-SPECIES-000412,Katsuwonus pelamis,aggregate_name,manual_review,high,2,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000003,가시복류,가시복,BM-SPECIES-000143,Diodon holocanthus,aggregate_name,manual_review,high,2,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000004,가오리,,BM-SPECIES-000643,,aggregate_name,manual_review,low,20,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000005,가오리 꼬리주의,,BM-SPECIES-000643,,source_issue,manual_review,low,20,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000006,가자미,,BM-SPECIES-000468,,aggregate_name,manual_review,low,20,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000007,갈치,,BM-SPECIES-000444,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000008,감성돔,,BM-SPECIES-000751,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000009,갑오징어,,BM-SPECIES-003080,,aggregate_name,manual_review,low,20,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000010,강도다리,,BM-SPECIES-000555,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000011,갯강구,,BM-SPECIES-006084,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000012,갯장어,,BM-SPECIES-000900,,common_name,approved,high,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000013,갯장어류,갯장어,BM-SPECIES-000900,Muraenesox cinereus,aggregate_name,manual_review,high,2,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000014,검복류,검복,BM-SPECIES-000165,Takifugu porphyreus,aggregate_name,manual_review,high,2,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000015,고등어,,BM-SPECIES-000417,,common_name,approved,high,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000016,곰치,,BM-SPECIES-000935,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000017,광어,넙치,BM-SPECIES-000465,Paralichthys olivaceus,common_name,approved,medium,13,"current_queue,phase1_candidates,batch3",2026-08-01T14:39:17.715204+00:00,2026-08-01T15:39:27.269161+00:00
ALIAS-000018,귀상어류,귀상어,BM-SPECIES-000662,Sphyrna zygaena,aggregate_name,manual_review,high,2,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000019,긴꼬리벵에돔류,긴꼬리벵에돔,BM-SPECIES-000280,Girella leonina,aggregate_name,manual_review,high,2,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000020,긴꼬리상어,긴꼬리장어,BM-SPECIES-000906,Dysomma anguillare,common_name,rejected,high,6,"batch1,current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000021,까치복류,까치복,BM-SPECIES-000163,Takifugu xanthopterus,aggregate_name,manual_review,high,2,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000022,꼬치고기,,BM-SPECIES-000459,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000023,꼴뚜기,,BM-SPECIES-002769,,aggregate_name,manual_review,low,14,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000024,꼼치,,BM-SPECIES-000057,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000025,꽁치,,BM-SPECIES-000881,,common_name,approved,medium,1,original_link,2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
ALIAS-000026,꽃게류,꽃게,BM-SPECIES-005640,Portunus trituberculatus,aggregate_name,manual_review,high,2,"current_queue,phase1_candidates",2026-08-01T14:39:17.715204+00:00,2026-08-01T14:39:17.715204+00:00
