sourceName,category,normalizedName,matchingBaseName,status,statusReasons,candidateCount,topInternalId,topKoreanName,topScientificName,topMatchMethod,topSimilarityScore,topConfidence
광어,바다낚시 인기어종,광어,광어,manual_review,multiple_candidates | same_organism_group_restricted(fish),5,BM-SPECIES-000090,연어,Oncorhynchus keta,edit_distance,0.5,low
오징어,바다낚시 인기어종,오징어,오징어,manual_review,known_collective_name — 다수 종을 가리키는 관용 집합명 | multiple_candidates | same_organism_group_restricted(cephalopod),11,BM-SPECIES-002768,꼬마오징어,Idiosepius paradoxus,substring_match,0.6,medium
한치,바다낚시 인기어종,한치,한치,manual_review,single_candidate_but_no_explicit_local_alias_evidence,1,BM-SPECIES-003095,한치꼴뚜기,Uroteuthis chinensis,substring_match,0.4,low
쭈꾸미,바다낚시 인기어종,쭈꾸미,쭈꾸미,manual_review,single_candidate_but_no_explicit_local_alias_evidence,1,BM-SPECIES-003107,주꾸미,Amphioctopus fangsiao,edit_distance,0.667,low
갑오징어,바다낚시 인기어종,갑오징어,갑오징어,manual_review,multiple_candidates | same_organism_group_restricted(cephalopod),10,BM-SPECIES-003080,바늘갑오징어,Decorisepia madokai,substring_match,0.667,medium
열기,선상낚시 어종,열기,열기,manual_review,multiple_candidates | same_organism_group_restricted(fish),2,BM-SPECIES-000317,발기,Perccottus glenii,edit_distance,0.5,low
황열기,선상낚시 어종,황열기,황열기,manual_review,no_candidates_found,0,,,,,,
참치,선상낚시 어종,참치,참치,manual_review,known_collective_name — 다수 종을 가리키는 관용 집합명,1,BM-SPECIES-000495,참치방어,Elagatis bipinnulata,substring_match,0.5,medium
대삼치,선상낚시 어종,대삼치,대삼치,manual_review,single_candidate_but_no_explicit_local_alias_evidence,1,BM-SPECIES-000408,삼치,Scomberomorus niphonius,substring_match,0.667,medium
망둥어,방파제/갯바위 어종,망둥어,망둥어,manual_review,multiple_candidates | same_organism_group_restricted(fish),2,BM-SPECIES-000369,말뚝망둥어,Periophthalmus modestus,substring_match,0.6,medium
벚꽃망둑,방파제/갯바위 어종,벚꽃망둑,벚꽃망둑,manual_review,no_candidates_found,0,,,,,,
가오리,계절별 대표어종,가오리,가오리,manual_review,known_collective_name — 다수 종을 가리키는 관용 집합명 | multiple_candidates | same_organism_group_restricted(fish),10,BM-SPECIES-000643,도랑가오리,Dipturus macrocauda,substring_match,0.6,medium
참소라,계절별 대표어종,참소라,참소라,confirmed,nifs_dialect_explicit_alias — NIFS 방언 목록에 명시된 별칭,1,BM-SPECIES-002324,소라,Turbo sazae,nifs_dialect_reference,0.9,high
전복,계절별 대표어종,전복,전복,manual_review,multiple_candidates | same_organism_group_restricted(gastropod),4,BM-SPECIES-002416,둥근전복,Haliotis discus,substring_match,0.5,medium
해삼,계절별 대표어종,해삼,해삼,manual_review,multiple_candidates | same_organism_group_restricted(crustacean),2,BM-SPECIES-005503,납작흰해삼속살이게,Pinnixa penultipedalis,substring_match,0.222,low
성게,계절별 대표어종,성게,성게,manual_review,multiple_candidates | same_organism_group_restricted(gastropod),4,BM-SPECIES-002507,보라성게살이고둥,Vitreolina langfordi,substring_match,0.25,low
장어,회/식용 인기어종,장어,장어,manual_review,known_collective_name — 다수 종을 가리키는 관용 집합명 | multiple_candidates | same_organism_group_restricted(fish),10,BM-SPECIES-000445,분장어,Eupleurogrammus muticus,substring_match,0.667,medium
복어,회/식용 인기어종,복어,복어,manual_review,known_collective_name — 다수 종을 가리키는 관용 집합명 | multiple_candidates | same_organism_group_restricted(fish),5,BM-SPECIES-000090,연어,Oncorhynchus keta,edit_distance,0.5,low
가자미,회/식용 인기어종,가자미,가자미,manual_review,multiple_candidates | same_organism_group_restricted(fish),10,BM-SPECIES-000468,중설가자미,Plagiopsetta glossa,substring_match,0.6,medium
쥐치포용 쥐치,회/식용 인기어종,쥐치포용쥐치,쥐치포용 쥐치,manual_review,single_candidate_but_no_explicit_local_alias_evidence,1,BM-SPECIES-000122,쥐치,Stephanolepis cirrhifer,substring_match,0.286,low
참굴,회/식용 인기어종,참굴,참굴,manual_review,multiple_candidates | cross_taxon_homonym — 후보들의 분류군이 서로 다름,5,BM-SPECIES-000755,참돔,Pagrus major,edit_distance,0.5,low
