nifsSourceId,koreanName,nifsScientificNameRaw,mbrisInternalId,mbrisScientificNameCanonical,relationshipType,sameSpecies,confidence,evidenceCount,evidenceSummary,reviewStatus
fish_1571806850754,갈치,Trichiurus lepturus,BM-SPECIES-000444,Trichiurus japonicus,taxonomic_revision,True,medium,4,WoRMS: accepted — 원기재는 아종(T. lepturus japonicus)이었으나 이후 독립종으로 승격 | WoRMS: accepted — WoRMS는 lepturus의 synonym이 아니라 별개의 accepted 종으로 등재 | FishBase: 분포를 '한국·중국·일본·대만 북서태평양'으로 한정 기재 — 지리적으로 분리된 개체군 | GBIF: WoRMS와 상반됨 — GBIF는 T. japonicus를 T. lepturus의 synonym으로 취급,manual_review
fish_1575521941711,개조개,Saxidomus purpuratus,BM-SPECIES-003315,Saxidomus purpurata,gender_ending_variant,True,high,2,"WoRMS/MolluscaBase: accepted | WoRMS/MolluscaBase: unaccepted — unacceptreason='incorrect gender ending; Saxidomus is feminine', valid_AphiaID=582808(purpurata)를 가리킴",approved
fish_1575529825083,갯장어,Muraenesox cinereus,BM-SPECIES-000900,Muraenesox cinereus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1571803943319,고등어,Scomber japonicus,BM-SPECIES-000417,Scomber japonicus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1576639605223,기름가자미,Glyptocephalus stelleri,BM-SPECIES-000557,Glyptocephalus stelleri,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1576045793538,꽃게,Portunus trituberculatus,BM-SPECIES-005640,Portunus trituberculatus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575596889118,낙지,Octopus minor,BM-SPECIES-003106,Octopus minor,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1576639605222,대게,Chionoecetes opilio,BM-SPECIES-005542,Chionoecetes opilio,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575613737728,대구,Gadus macrocephalus,BM-SPECIES-001056,Gadus macrocephalus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1576639605224,대문어,Enteroctopus dofleini,BM-SPECIES-003111,Enteroctopus dofleini,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575858517048,도루묵,Arctoscopus japonicus,BM-SPECIES-001166,Arctoscopus japonicus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575867824021,말쥐치,Thamnaconus modestus,BM-SPECIES-000129,Thamnaconus modestus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575868769703,명태,Theragra chalcogramma,BM-SPECIES-001057,Gadus chalcogrammus,accepted_name_update,True,high,3,WoRMS: unaccepted — valid_AphiaID 300735(Gadus chalcogrammus)를 가리킴 | WoRMS: accepted — Theragra chalcogramma 등을 synonym으로 등재 | GBIF: WoRMS와 일치 — Theragra chalcogramma(2415762)를 Gadus chalcogrammus(2415769)의 synonym으로 처리,approved
fish_1575870984736,바지락,Ruditapes philippinarum,BM-SPECIES-003313,Ruditapes philippinarum,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1573537097812,붉은대게,Chionoecetes japonicus,BM-SPECIES-005541,Chionoecetes japonicus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575875139974,살오징어,Todarodes pacificus,BM-SPECIES-003117,Todarodes pacificus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1576639605225,삼치,Scomberomorus niphonius,BM-SPECIES-000408,Scomberomorus niphonius,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575873437839,오분자기,Sulculus diversicolor,BM-SPECIES-002418,Haliotis supertexta,unresolved_conflict,False,low,4,"WoRMS/MolluscaBase: accepted, 별개의 유효종. synonym은 'Sulculus diversicolor'/'Haliotis (Sulculus) diversicolor'뿐 — supertexta는 이 종의 이명이 아니다 | WoRMS/MolluscaBase: accepted, diversicolor와 별개. Owen(2004) 'Of Sea and Shore' 26(2):99-105이 과거 아종(H. diversicolor supertexta)이던 것을 독립종으로 승격시킨 근거 문헌 | 국립생물자원관(NIBR): 국내 공식 목록: 'Sulculus diversicolor diversicolor(마대오분자기)'와 'Sulculus diversicolor supertexta(오분자기)'를 서로 다른 국명의 별개 아종으로 등재 | GBIF: ACCEPTED, synonym=null — WoRMS와 일치, diversicolor의 이명 아님",unresolved
fish_1575532529343,옥돔,Branchiostegus japonicus,BM-SPECIES-000825,Branchiostegus japonicus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1576639605226,전갱이,Trachurus japonicus,BM-SPECIES-000488,Trachurus japonicus,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575880014320,제주소라,"Turbo cornutus, Batillus cornutus",BM-SPECIES-002324,Turbo sazae,taxonomic_revision,True,high,4,"WoRMS/MolluscaBase: accepted — H. Fukuda, 2017 | WoRMS/MolluscaBase: accepted이지만 별개 유효종 — 중국 남부·대만 고유종으로 분포 한정 | WoRMS/MolluscaBase: superseded combination — valid_name은 Turbo cornutus(별도 종이 아니라 Batillus아속의 구식 속명 승격 표기) | Molluscan Research: 일본·한국 개체군에 적용되던 'Turbo cornutus'가 실제로는 오적용명(misapplied name)이며 진짜 T. cornutus는 중국·대만 고유종임을 밝히고 T. sazae를 신학명으로 부여",approved
fish_1576639605227,주꾸미,Amphioctopus fangsiao,BM-SPECIES-003107,Amphioctopus fangsiao,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575880791880,참조기,Larimichthys polyactis,BM-SPECIES-000841,Larimichthys polyactis,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
fish_1575881532404,참홍어,Raja pulchra,BM-SPECIES-000642,Beringraja pulchra,accepted_name_update,True,high,3,"WoRMS: junior objective synonym — valid_AphiaID 1015739(Beringraja pulchra)를 가리킴 | WoRMS: accepted, Rajidae | WoRMS: Ishihara, Treloar, Bor, Senou & Jeong, 2012 신설 — 알집 산란 전략·clasper 형태 + 분자계통 분석(North Pacific assemblage 단계통) 근거로 Raja에서 분리",approved
fish_1575882272758,키조개,Atrina pectinata,BM-SPECIES-002949,Atrina pectinata,accepted_name_update,True,high,1,nifs-mbris-link.json: 기존 자동 매칭 결과,approved
