internalId,koreanName,scientificName,organismGroup,servicePriorityScore,serviceTier,fishDataLinked,fishDataSourceNames,nifsLinked,fishingTargetStatus
BM-SPECIES-000129,말쥐치,Thamnaconus modestus,fish,100,A,True,말쥐치,True,confirmed
BM-SPECIES-000408,삼치,Scomberomorus niphonius,fish,100,A,True,삼치,True,confirmed
BM-SPECIES-000417,고등어,Scomber japonicus,fish,100,A,True,고등어,True,confirmed
BM-SPECIES-000444,갈치,Trichiurus japonicus,fish,100,A,True,갈치 | 은갈치,True,confirmed
BM-SPECIES-000488,전갱이,Trachurus japonicus,fish,100,A,True,전갱이,True,confirmed
BM-SPECIES-000825,옥돔,Branchiostegus japonicus,fish,100,A,True,옥돔,True,confirmed
BM-SPECIES-000900,갯장어,Muraenesox cinereus,fish,100,A,True,갯장어,True,confirmed
BM-SPECIES-001056,대구,Gadus macrocephalus,fish,100,A,True,대구,True,confirmed
BM-SPECIES-001057,명태,Gadus chalcogrammus,fish,100,A,True,명태,True,confirmed
BM-SPECIES-002324,소라,Turbo sazae,gastropod,100,A,True,참소라,True,confirmed
BM-SPECIES-003107,주꾸미,Amphioctopus fangsiao,cephalopod,100,A,True,쭈꾸미,True,confirmed
BM-SPECIES-003111,문어,Enteroctopus dofleini,cephalopod,100,A,True,문어,True,confirmed
BM-SPECIES-003117,살오징어,Todarodes pacificus,cephalopod,100,A,True,살오징어,True,confirmed
BM-SPECIES-000002,볼락,Sebastes inermis,fish,85,A,True,볼락,False,confirmed
BM-SPECIES-000019,쏨뱅이,Sebastiscus marmoratus,fish,85,A,True,쏨뱅이,False,confirmed
BM-SPECIES-000057,꼼치,Liparis tanakae,fish,85,A,True,꼼치,False,confirmed
BM-SPECIES-000060,물메기,Liparis tessellatus,fish,85,A,True,물메기,False,confirmed
BM-SPECIES-000065,양태,Platycephalus indicus,fish,85,A,True,양태 | 장대,False,confirmed
BM-SPECIES-000080,아귀,Lophiomus setigerus,fish,85,A,True,아귀,False,confirmed
BM-SPECIES-000095,달고기,Zeus faber,fish,85,A,True,달고기,False,confirmed
BM-SPECIES-000097,숭어,Mugil cephalus,fish,85,A,True,숭어,False,confirmed
BM-SPECIES-000122,쥐치,Stephanolepis cirrhifer,fish,85,A,True,쥐치,False,confirmed
BM-SPECIES-000188,농어,Lateolabrax japonicus,fish,85,A,True,농어,False,confirmed
BM-SPECIES-000223,망상어,Ditrema temminckii,fish,85,A,True,망상어,False,confirmed
BM-SPECIES-000226,자리돔,Chromis notata,fish,85,A,True,자리돔,False,confirmed
BM-SPECIES-000278,돌돔,Oplegnathus fasciatus,fish,85,A,True,돌돔,False,confirmed
BM-SPECIES-000279,벵에돔,Girella punctata,fish,85,A,True,벵에돔,False,confirmed
BM-SPECIES-000412,가다랑어,Katsuwonus pelamis,fish,85,A,True,가다랑어,False,confirmed
BM-SPECIES-000415,줄삼치,Sarda orientalis,fish,85,A,True,줄삼치,False,confirmed
BM-SPECIES-000425,덕대,Pampus argenteus,fish,85,A,True,덕대,False,confirmed
BM-SPECIES-000426,병어,Pampus punctatissimus,fish,85,A,True,병어,False,confirmed
BM-SPECIES-000459,꼬치고기,Sphyraena pinguis,fish,85,A,True,꼬치고기,False,confirmed
BM-SPECIES-000465,넙치,Paralichthys olivaceus,fish,85,A,True,광어 | 넙치,False,confirmed
BM-SPECIES-000473,돛새치,Istiophorus platypterus,fish,85,A,True,돛새치,False,confirmed
BM-SPECIES-000479,황새치,Xiphias gladius,fish,85,A,True,황새치,False,confirmed
BM-SPECIES-000500,부시리,Seriola aureovittata,fish,85,A,True,부시리,False,confirmed
BM-SPECIES-000501,방어,Seriola quinqueradiata,fish,85,A,True,방어,False,confirmed
BM-SPECIES-000541,줄가자미,Clidoderma asperrimum,fish,85,A,True,줄가자미,False,confirmed
BM-SPECIES-000544,참가자미,Pseudopleuronectes herzensteini,fish,85,A,True,참가자미,False,confirmed
BM-SPECIES-000548,도다리,Pleuronichthys cornutus,fish,85,A,True,도다리,False,confirmed
BM-SPECIES-000553,홍가자미,Hippoglossoides dubius,fish,85,A,True,홍가자미,False,confirmed
BM-SPECIES-000554,돌가자미,Platichthys bicoloratus,fish,85,A,True,돌가자미,False,confirmed
BM-SPECIES-000555,강도다리,Platichthys stellatus,fish,85,A,True,강도다리,False,confirmed
BM-SPECIES-000594,놀래기,Halichoeres tenuispinis,fish,85,A,True,놀래기,False,confirmed
BM-SPECIES-000649,홍어,Okamejei kenojei,fish,85,A,True,홍어,False,confirmed
BM-SPECIES-000710,먹장어,Eptatretus burgeri,fish,85,A,True,먹장어,False,confirmed
BM-SPECIES-000751,감성돔,Acanthopagrus schlegelii,fish,85,A,True,감성돔,False,confirmed
BM-SPECIES-000755,참돔,Pagrus major,fish,85,A,True,참돔,False,confirmed
BM-SPECIES-000800,독가시치,Siganus fuscescens,fish,85,A,True,독가시치,False,confirmed
BM-SPECIES-000818,보리멸,Sillago sihama,fish,85,A,True,보리멸,False,confirmed
BM-SPECIES-000840,민어,Miichthys miiuy,fish,85,A,True,민어,False,confirmed
BM-SPECIES-000881,꽁치,Cololabis saira,fish,85,A,True,꽁치,False,confirmed
BM-SPECIES-000884,학공치,Hyporhamphus sajori,fish,85,A,True,학공치,False,confirmed
BM-SPECIES-000908,붕장어,Conger myriaster,fish,85,A,True,붕장어,False,confirmed
BM-SPECIES-000935,곰치,Gymnothorax kidako,fish,85,A,True,곰치,False,confirmed
BM-SPECIES-000958,황어,Pseudaspius hakonensis,fish,85,A,True,황어,False,confirmed
BM-SPECIES-001012,쏠종개,Plotosus japonicus,fish,85,A,True,쏠종개,False,confirmed
BM-SPECIES-001022,청어,Clupea pallasii,fish,85,A,True,청어,False,confirmed
BM-SPECIES-001029,멸치,Engraulis japonicus,fish,85,A,True,멸치,False,confirmed
BM-SPECIES-001030,준치,Ilisha elongata,fish,85,A,True,준치,False,confirmed
BM-SPECIES-001037,전어,Konosirus punctatus,fish,85,A,True,전어,False,confirmed
BM-SPECIES-001040,정어리,Sardinops melanosticta,fish,85,A,True,정어리,False,confirmed
BM-SPECIES-001135,성대,Chelidonichthys spinosus,fish,85,A,True,성대,False,confirmed
BM-SPECIES-001153,쑤기미,Inimicus japonicus,fish,85,A,True,쑤기미,False,confirmed
BM-SPECIES-001157,미역치,Paracentropogon rubripinnis,fish,85,A,True,미역치,False,confirmed
BM-SPECIES-001161,임연수어,Pleurogrammus azonus,fish,85,A,True,임연수어,False,confirmed
BM-SPECIES-001164,노래미,Hexagrammos agrammus,fish,85,A,True,노래미,False,confirmed
BM-SPECIES-001165,쥐노래미,Hexagrammos otakii,fish,85,A,True,쥐노래미,False,confirmed
BM-SPECIES-001204,자바리,Epinephelus bruneus,fish,85,A,True,자바리,False,confirmed
BM-SPECIES-001215,능성어,Hyporthodus septemfasciatus,fish,85,A,True,능성어,False,confirmed
BM-SPECIES-001227,다금바리,Niphon spinosus,fish,85,A,True,다금바리,False,confirmed
BM-SPECIES-006084,갯강구,Ligia exotica,crustacean,80,A,True,갯강구,False,confirmed
BM-SPECIES-002852,우럭,Mya arenaria,bivalve,78,A,True,우럭,False,confirmed
BM-SPECIES-002965,굴,Magallana gigas,bivalve,78,A,True,참굴,False,confirmed
BM-SPECIES-003025,홍합,Mytilus coruscus,bivalve,78,A,True,홍합,False,confirmed
BM-SPECIES-000557,기름가자미,Glyptocephalus stelleri,fish,70,A,False,,True,confirmed
BM-SPECIES-000642,참홍어,Beringraja pulchra,fish,70,A,False,,True,confirmed
BM-SPECIES-000841,참조기,Larimichthys polyactis,fish,70,A,False,,True,confirmed
BM-SPECIES-001166,도루묵,Arctoscopus japonicus,fish,70,A,False,,True,confirmed
BM-SPECIES-003106,낙지,Octopus minor,cephalopod,67,A,False,,True,confirmed
BM-SPECIES-005541,홍게,Chionoecetes japonicus,crustacean,65,A,False,,True,confirmed
BM-SPECIES-005542,대게,Chionoecetes opilio,crustacean,65,A,False,,True,confirmed
BM-SPECIES-005640,꽃게,Portunus trituberculatus,crustacean,65,A,False,,True,confirmed
BM-SPECIES-002418,오분자기,Haliotis supertexta,gastropod,63,A,False,,True,confirmed
BM-SPECIES-002949,키조개,Atrina pectinata,bivalve,63,A,False,,True,confirmed
BM-SPECIES-003313,바지락,Ruditapes philippinarum,bivalve,63,A,False,,True,confirmed
BM-SPECIES-003315,개조개,Saxidomus purpurata,bivalve,63,A,False,,True,confirmed
BM-SPECIES-000001,돌삼뱅이,Sebastes baramenuke,fish,25,C,False,,False,possible
BM-SPECIES-000003,도화볼락,Sebastes joyneri,fish,25,C,False,,False,possible
BM-SPECIES-000004,황점볼락,Sebastes oblongus,fish,25,C,False,,False,possible
BM-SPECIES-000005,황볼락,Sebastes owstoni,fish,25,C,False,,False,possible
BM-SPECIES-000006,세줄볼락,Sebastes trivittatus,fish,25,C,False,,False,possible
BM-SPECIES-000007,말락볼락,Sebastes wakiyai,fish,25,C,False,,False,possible
BM-SPECIES-000008,띠볼락,Sebastes zonatus,fish,25,C,False,,False,possible
BM-SPECIES-000009,황해볼락,Sebastes koreanus,fish,25,C,False,,False,possible
BM-SPECIES-000010,누루시볼락,Sebastes vulpes,fish,25,C,False,,False,possible
BM-SPECIES-000011,개볼락,Sebastes pachycephalus,fish,25,C,False,,False,possible
BM-SPECIES-000012,조피볼락,Sebastes schlegelii,fish,25,C,False,,False,possible
BM-SPECIES-000013,황점개볼락,Sebastes nudus,fish,25,C,False,,False,possible
BM-SPECIES-000014,노랑볼락,Sebastes steindachneri,fish,25,C,False,,False,possible
BM-SPECIES-000015,불볼락,Sebastes thompsoni,fish,25,C,False,,False,possible
BM-SPECIES-000016,흰꼬리볼락,Sebastes longispinis,fish,25,C,False,,False,possible
BM-SPECIES-000017,우럭볼락,Sebastes hubbsi,fish,25,C,False,,False,possible
BM-SPECIES-000018,붉감펭,Sebastiscus albofasciatus,fish,25,C,False,,False,possible
BM-SPECIES-000020,붉은쏨뱅이,Sebastiscus tertius,fish,25,C,False,,False,possible
BM-SPECIES-000021,살살치,Scorpaena neglecta,fish,25,C,False,,False,possible
BM-SPECIES-000022,쭈굴감펭,Scorpaena miostoma,fish,25,C,False,,False,possible
BM-SPECIES-000023,점감펭,Scorpaena onaria,fish,25,C,False,,False,possible
BM-SPECIES-000024,도자감펭,Parapterois heterura,fish,25,C,False,,False,possible
BM-SPECIES-000025,꽃감펭,Hoplosebastes armatus,fish,25,C,False,,False,possible
BM-SPECIES-000026,붉은마수감펭,Lythrichthys longimanus,fish,25,C,False,,False,possible
BM-SPECIES-000027,긴수염쏠배감펭,Pteropterus antennata,fish,25,C,False,,False,possible
BM-SPECIES-000028,홍살치,Sebastolobus macrochir,fish,25,C,False,,False,possible
BM-SPECIES-000029,동해큰눈볼락,Hozukius emblemarius,fish,25,C,False,,False,possible
BM-SPECIES-000030,실줄고기,Freemanichthys thompsoni,fish,25,C,False,,False,possible
BM-SPECIES-000031,민어치,Anoplagonus occidentalis,fish,25,C,False,,False,possible
BM-SPECIES-000032,잔줄고기,Brachyopsis segaliensis,fish,25,C,False,,False,possible
