sheet,koreanName,count,scientificNames
무척추동물,등줄조개,2,Astarte alaskensis | Tridonta elliptica
무척추동물,장식도롱이갯민숭이,2,Tenellia ornata | Trinchesia ornata
무척추동물,흰점박이도롱이갯민숭이,2,Coryphella athadona | Occidenthella athadona
무척추동물,민무늬흰점박이도롱이갯민숭이,2,Coryphella amabilis | Microchlamylla amabilis
무척추동물,분홍무늬팥알고둥,2,Argalista glareosa | Collonista glareosa
무척추동물,붉은흰반점문어,2,Callistoctopus macropus | Pinnoctopus macropus
무척추동물,둥근달떡조개,2,Dosinella angulosa | Dosinia angulosa
무척추동물,유령멍게숨이,2,Notodelphys villosus | Pronotodelphys villosus
무척추동물,돔턱벌레,2,Alella macrotrachelus | Alella pagelli
무척추동물,군평선이물이,2,Caligus rotundigenitalis | Caligus torpedinis
무척추동물,네고리갯지렁이,2,Goniada foliacea | Ophioglycera foliacea
식물,노루뿔그물바탕말,2,Canistrocarpus cervicornis | Dictyota sumbisoria
식물,큰그물바탕말,2,Dictyota ciliolata | Dictyota taewakia
원생생물,팔찌주전자소모충,2,Arenoparrella mexicana | Ascampbelliella armilla
육상담수종,재첩,2,Corbicula (Corbiculina) fluminea | Corbicula fluminea
육상담수종,엷은재첩,2,Corbicula (Corbiculina) papyracea | Corbicula nitens
육상담수종,참재첩,2,Corbicula (Corbiculina) leana | Corbicula leana
육상담수종,삼각산골조개,2,Musculium lacustre japonicum | Sphaerium japonicum
