sheet,row,scientificName,koreanName,detailGroup
척추동물,384,Chaeturichthys jeoni,,어류
무척추동물,70,Anteaeolidiella takanosimensis,,연체동물
무척추동물,72,Aeolidia papillosa,,연체동물
무척추동물,91,Cadlina umiushi,,연체동물
무척추동물,98,Marionia olivacea,,연체동물
무척추동물,101,Dirona pellucida,,연체동물
무척추동물,105,Sakuraeolis japonica,,연체동물
무척추동물,201,Hastula jejuensis,,연체동물
무척추동물,398,Phos senticosus,,연체동물
무척추동물,585,Rhinoclavis sordidula,,연체동물
무척추동물,1251,Anadara talmiensis,,연체동물
무척추동물,1299,Mya japonica,,연체동물
무척추동물,1314,Latona semisulcata semisulcata,,연체동물
무척추동물,1596,Liolophura koreana,,연체동물
무척추동물,1599,Cryptoplax rhodoplax,,연체동물
무척추동물,1687,Exolaternula spengleri,,연체동물
무척추동물,1772,Pelecyora corculum,,연체동물
무척추동물,1852,Ectopleura crocea,,자포동물
무척추동물,1884,Ceratocymba Ceratocymba leuckartii,,자포동물
무척추동물,1885,Abyla Abyla haeckeli,,자포동물
무척추동물,1886,Bassia bassensis,,자포동물
무척추동물,1894,Nanomia bijuga,,자포동물
무척추동물,1897,Eudoxoides mitra,,자포동물
무척추동물,1899,Dimophyes arctica,,자포동물
무척추동물,1904,Chelophyes contorta,,자포동물
무척추동물,1906,Muggiaea atlantica,,자포동물
무척추동물,1907,Lensia Lensia subtilis,,자포동물
무척추동물,1908,Lensia subtiloides,,자포동물
무척추동물,2045,Zoanthus sansibaricus,,자포동물
무척추동물,2235,Podon leuckartii,,절지동물
무척추동물,2236,Evadne nordmanni,,절지동물
무척추동물,2237,Evadne spinifera,,절지동물
무척추동물,2238,Pleopis polyphemoides,,절지동물
무척추동물,2239,Pseudevadne tergestina,,절지동물
무척추동물,2243,Penilia avirostris,,절지동물
무척추동물,2263,Labidura riparia,,절지동물
무척추동물,2267,Limulus polyphemus,,절지동물
무척추동물,2273,Pycnogonum bifurcatum,,절지동물
무척추동물,2315,Symphylella vulgaris,,절지동물
무척추동물,2340,Copidognathus daguilarensis,,절지동물
무척추동물,2341,Copidognathus fistulosus,,절지동물
무척추동물,2344,Copidognathus levicostatus,,절지동물
무척추동물,2345,Copidognathus vicinus,,절지동물
무척추동물,2347,Scaptognathus magnus,,절지동물
무척추동물,2351,Agauopsis bisetosa,,절지동물
무척추동물,2355,Actacarus pacificus,,절지동물
무척추동물,2357,Anomalohalacarus biformis,,절지동물
무척추동물,2358,Anomalohalacarus angustus,,절지동물
무척추동물,2379,Cantellius arcuatus,,절지동물
무척추동물,2380,Chelonibia testudinaria,,절지동물
무척추동물,2429,Parasacculina shiinoi,,절지동물
무척추동물,2433,Parasacculina pinnotherae,,절지동물
무척추동물,2436,Sacculina upogebiae,,절지동물
무척추동물,2439,Peltogaster reticulata,,절지동물
무척추동물,2440,Peltogaster ovalis,,절지동물
무척추동물,2450,Heteromysis japonica,,절지동물
무척추동물,2487,Holmesiella anomala,,절지동물
무척추동물,2497,Pleurerythrops secundus,,절지동물
무척추동물,2563,Melita shimizui,,절지동물
무척추동물,2574,Ptilohyale crassicornis,,절지동물
무척추동물,2597,Ampithoe changbaensis,,절지동물
무척추동물,2633,Paraphoxus jejuensis,,절지동물
무척추동물,2641,Phronima atlantica,,절지동물
무척추동물,2647,Jassa kimi,,절지동물
무척추동물,2659,Colomastix lunalilo,,절지동물
무척추동물,2691,Platorchestia platensis,,절지동물
무척추동물,2715,Oxycephalus clausi,,절지동물
무척추동물,2755,Caprella aino,,절지동물
무척추동물,2840,Chondrochelia dubia,,절지동물
무척추동물,2844,Wandogarida canalicula,,절지동물
무척추동물,2845,Hexapleomera ulsana,,절지동물
무척추동물,2846,Hexapleomera yokjidona,,절지동물
무척추동물,2847,Zeuxo gracilis,,절지동물
무척추동물,2848,Zeuxo spina,,절지동물
무척추동물,2865,Caecianiropsis goseongensis,,절지동물
무척추동물,2917,Idarcturus trispinosus,,절지동물
무척추동물,2919,Apanthura laevipedata,,절지동물
무척추동물,2924,Amakusanthura intermedia,,절지동물
무척추동물,2925,Uromunna mundongensis,,절지동물
무척추동물,2926,Uromunna jejuensis,,절지동물
무척추동물,2942,Pentias pluriarticulatus,,절지동물
무척추동물,2944,Cleantiella ampliscutula,,절지동물
무척추동물,2950,Ascionana rhipis,,절지동물
무척추동물,2951,Paramunna koreana,,절지동물
무척추동물,2952,Boreosignum affinis,,절지동물
무척추동물,2953,Coxicerberus fukudai,,절지동물
무척추동물,2998,Labidocera sinilobata,,절지동물
무척추동물,3015,Heterorhabdus papilliger,,절지동물
무척추동물,3029,Ctenocalanus citer,,절지동물
무척추동물,3040,Pseudodiaptomus japonicus,,절지동물
무척추동물,3056,Stephos jejuensis,,절지동물
무척추동물,3057,Stephos concavus,,절지동물
무척추동물,3059,Stephos fortipes,,절지동물
무척추동물,3071,Neocalanus gracilis,,절지동물
무척추동물,3083,Centropages sinensis,,절지동물
무척추동물,3084,Centropages calaninus,,절지동물
무척추동물,3085,Centropages orsinii,,절지동물
무척추동물,3094,Lucicutia gaussae,,절지동물
무척추동물,3109,Paracalanus parvus parvus,,절지동물
무척추동물,3115,Monstrilla grandis,,절지동물
무척추동물,3120,Caromiobenella ohtsukai,,절지동물
무척추동물,3121,Caromiobenella castorea,,절지동물
무척추동물,3123,Caromiobenella polluxea,,절지동물
무척추동물,3126,Polyankylis bogilensis,,절지동물
무척추동물,3127,Polyankylis estivalis,,절지동물
무척추동물,3133,Anthessius cucullatus,,절지동물
무척추동물,3141,Enalcyonium granulatum,,절지동물
무척추동물,3142,Enalcyonium lobiferum,,절지동물
무척추동물,3143,Enalcyonium littorale,,절지동물
무척추동물,3144,Enalcyonium paraciliatum,,절지동물
무척추동물,3145,Gudogius pelagicus,,절지동물
무척추동물,3146,Lamippula radicata,,절지동물
무척추동물,3147,Lamippula bisetata,,절지동물
무척추동물,3148,Lamippula bifurcata,,절지동물
무척추동물,3149,Lamippella bulbosa,,절지동물
무척추동물,3150,Lamippella merista,,절지동물
무척추동물,3164,Orbitacolax brevispinus,,절지동물
무척추동물,3166,Botryllophilus abbotti,,절지동물
무척추동물,3168,Botryllophilus paucisetatus,,절지동물
무척추동물,3169,Botryllophilus pentamerus,,절지동물
무척추동물,3171,Haplostoma quadridens,,절지동물
무척추동물,3172,Haplostoma paucidens,,절지동물
무척추동물,3174,Anchimolgus jejuicus,,절지동물
무척추동물,3180,Pusanomyicola sensitivus,,절지동물
무척추동물,3189,Cyclopinopsis deformata,,절지동물
무척추동물,3190,Heterocyclopina koreaensis,,절지동물
무척추동물,3191,Cyclopina wido,,절지동물
무척추동물,3192,Cyclopina busanensis,,절지동물
무척추동물,3193,Cyclopina curtijeju,,절지동물
무척추동물,3194,Cyclopina koreana,,절지동물
무척추동물,3195,Koreacyclopina wellsi,,절지동물
무척추동물,3197,Apocyclops royi,,절지동물
무척추동물,3218,Doropygus humilis,,절지동물
무척추동물,3228,Unimeria hirsuta,,절지동물
무척추동물,3229,Thoracodelphys cerasta,,절지동물
무척추동물,3230,Thoracodelphys bisetata,,절지동물
무척추동물,3251,Acanthomolgus oporinus,,절지동물
무척추동물,3252,Acanthomolgus triplus,,절지동물
무척추동물,3253,Acanthomolgus dokdoicus,,절지동물
무척추동물,3254,Acanthomolgus rugosus,,절지동물
무척추동물,3255,Acanthomolgus crassae,,절지동물
무척추동물,3256,Acanthomolgus jei,,절지동물
무척추동물,3257,Acanthomolgus notialis,,절지동물
무척추동물,3258,Acanthomolgus taenichaetatus,,절지동물
무척추동물,3294,Rhodinicola exilis,,절지동물
무척추동물,3297,Pontoclausia pristina,,절지동물
무척추동물,3298,Pontoclausia cochleata,,절지동물
무척추동물,3307,Anchistrotos tongyeongensis,,절지동물
무척추동물,3320,Cirracanthus inimici,,절지동물
무척추동물,3351,Hemicyclops rapax,,절지동물
무척추동물,3358,Petalocopus planus,,절지동물
무척추동물,3374,Zygomolgus tenuifurcatus,,절지동물
무척추동물,3376,Zygomolgus didemni,,절지동물
무척추동물,3377,Heteranthessius unisetatus,,절지동물
무척추동물,3385,Herrmannella macomae,,절지동물
무척추동물,3386,Lichomolgella collata,,절지동물
무척추동물,3387,Lichomolgella exigua,,절지동물
무척추동물,3388,Lichomolgella nudicoxa,,절지동물
무척추동물,3393,Enterocola longicaudatus,,절지동물
무척추동물,3394,Enterocola horridus,,절지동물
무척추동물,3407,Pseudanthessius oporinus,,절지동물
무척추동물,3408,Pseudanthessius petilus,,절지동물
무척추동물,3409,Pseudanthessius linguifer,,절지동물
무척추동물,3410,Pentakela cylindrica,,절지동물
무척추동물,3414,Gastrodelphys vadicola,,절지동물
무척추동물,3434,Eupolymniphilus foliatus,,절지동물
무척추동물,3438,Myxomolgus buanensis,,절지동물
무척추동물,3439,Myxomolgus dokdoicus,,절지동물
무척추동물,3440,Serpuliphilus antennatus,,절지동물
무척추동물,3447,Nereicola Nereicola,,절지동물
무척추동물,3465,Oncaea prendeli,,절지동물
무척추동물,3466,Spinoncaea humesi,,절지동물
무척추동물,3467,Spinoncaea ivlevi,,절지동물
무척추동물,3468,Spinoncaea tenuis,,절지동물
무척추동물,3472,Delavalia oblonga,,절지동물
무척추동물,3479,Sarsamphiascus michaeli,,절지동물
무척추동물,3480,Sarsamphiascus jackiei,,절지동물
무척추동물,3481,Sarsamphiascus jermainei,,절지동물
무척추동물,3482,Sarsamphiascus marloni,,절지동물
무척추동물,3483,Sarsamphiascus titoi,,절지동물
무척추동물,3490,Robertgurneya jejuensis,,절지동물
무척추동물,3491,Robertgurneya donghaensis,,절지동물
무척추동물,3509,Psammis wellsi,,절지동물
무척추동물,3510,Xouthous naroensis,,절지동물
무척추동물,3511,Xouthous yeonghooni,,절지동물
무척추동물,3513,Pseudomesochra tatianae,,절지동물
무척추동물,3515,Phyllopodopsyllus thiebaudi santacruzensis,,절지동물
무척추동물,3516,Phyllopodopsyllus saywakimi,,절지동물
무척추동물,3517,Phyllopodopsyllus similis,,절지동물
무척추동물,3518,Laophontella horrida dentata,,절지동물
무척추동물,3519,Laophontella changi,,절지동물
무척추동물,3520,Cerviniella bisegmenta,,절지동물
무척추동물,3521,Cerviniella permixta,,절지동물
무척추동물,3522,Doolia ara,,절지동물
무척추동물,3523,Pontopolites duljjae,,절지동물
무척추동물,3525,Concilicoxa hispida,,절지동물
무척추동물,3526,Nannopus bulbiseta,,절지동물
무척추동물,3528,Nannopus cylindricus,,절지동물
무척추동물,3529,Nannopus robustus,,절지동물
무척추동물,3530,Nannopus dimorphicus,,절지동물
무척추동물,3531,Nannopus serratus,,절지동물
무척추동물,3534,Nannopus parvus,,절지동물
무척추동물,3536,Idyellopsis orientalis,,절지동물
무척추동물,3537,Idyella dolichi,,절지동물
무척추동물,3538,Idyella exochos,,절지동물
무척추동물,3539,Pseudoleptomesochra mannada,,절지동물
무척추동물,3544,Ameiropsis gyeongjuensis,,절지동물
무척추동물,3550,Stenocaris marcida,,절지동물
무척추동물,3551,Stenocaris intermedia,,절지동물
무척추동물,3553,Normanella parvisetosa,,절지동물
무척추동물,3561,Itunella yeondeokensis,,절지동물
무척추동물,3568,Tigriopus koreanus,,절지동물
무척추동물,3570,Tigriopus west,,절지동물
무척추동물,3571,Tigriopus east,,절지동물
무척추동물,3587,Stylicletodes trifidus,,절지동물
무척추동물,3589,Halectinosoma munmui,,절지동물
무척추동물,3615,Kioloaria jejuensis,,절지동물
무척추동물,3618,Kushia zosteraphila,,절지동물
무척추동물,3622,Zosime changi,,절지동물
무척추동물,3623,Zosime comata,,절지동물
무척추동물,3625,Zosime gymnokosmosa,,절지동물
무척추동물,3626,Heterozosime tenuis,,절지동물
무척추동물,3636,Diarthrodes jindoensis,,절지동물
무척추동물,3642,Eudactylopus yokjidoensis,,절지동물
무척추동물,3655,Quinquelaophonte sominer,,절지동물
무척추동물,3656,Quinquelaophonte enormis,,절지동물
무척추동물,3658,Echinolaophonte musa,,절지동물
무척추동물,3659,Heterolaophonte discophora,,절지동물
무척추동물,3665,Paralaophonte naroensis,,절지동물
무척추동물,3666,Philippiphonte aspidosoma,,절지동물
