internalId,nifsName,nifsScientificName,mbrisKoreanName,mbrisScientificNameShort,matchType,sciNameConflict,domesticDistribution,internationalDistribution,form,ecologyNotes,note
BM-SPECIES-000444,갈치,Trichiurus lepturus,갈치,Trichiurus japonicus,synonym,different,"우리나라의 서해(충남 태안, 전북 군산, 전남 목포), 동해(경북 포항), 남해(부산) 및 제주도 주변해역","북서태평양의 일본 남부, 중국, 대만 주변 해역","주둥이는 뾰족하며 양턱에는 크고 강한 이빨이 나 있다. 배지느러미는 존재하지 않고, 뒷지느러미는 퇴화되어 거...",,"국명 일치, 학명은 다름 — 학명 개정(synonym) 가능성"
BM-SPECIES-003315,개조개,Saxidomus purpuratus,개조개,Saxidomus purpurata,synonym,different,우리나라 전 연안,"일본, 중국, 인도양",패각은 타원형으로 두껍고 흰색을 띤다. 표면에는 성장맥이 규칙적으로 있다. 내면은 진한 보락색을 띤다.,조간대에서 수심 40m 이내 진흙 바닥에 서식한다.,"국명 일치, 학명은 다름 — 학명 개정(synonym) 가능성"
BM-SPECIES-000900,갯장어,Muraenesox cinereus,갯장어,Muraenesox cinereus,scientific_exact,same,"남해, 서해 및 제주도","일본 북부, 오스트리아 북부 및 홍해, 페르시아만을 포함한 인도-서태평양",,,
BM-SPECIES-000417,고등어,Scomber japonicus,고등어,Scomber japonicus,scientific_exact,same,우리나라 전 연안,인도-태평양의 온대와 아열대 해역,"몸은 미병고가 매우 낮은 방추형이며, 횡단면은 타원형이다. 눈은 머리의 중앙보다 약간 위에 있고 주둥이는 뾰...","연안의 표층성 어류이며, 큰 무리를 지어 서식한다. 수온 15∼16℃를 가장 좋아하고, 2∼3월경 제주도에서...",
BM-SPECIES-000557,기름가자미,Glyptocephalus stelleri,기름가자미,Glyptocephalus stelleri,scientific_exact,same,동해 연안,"일본, 사할린, 오호츠크 해, 베링 해","등지느러미 기조 수 83-100개, 뒷지느러미 기조 수 70-83, 측선린 수 85-112개이며, 몸은 긴 ...","산란기는 3-6월(산란 성기 4-5월), 산란장은 우리나라 동해안이며, 바닥이 펄이나 모래질인 해역의 수심 ...",
BM-SPECIES-005640,꽃게,Portunus trituberculatus,꽃게,Portunus trituberculatus,scientific_exact,same,"우리나라 서해, 남해 전역","일본, 중국(보하이해, 동중국해, 남중국해)","갑각은 초록색을 띤 연한 청색이거나 짙은 청색이고, 집게다리에는 보라색 바탕에 흰점무늬가 있다. 남해안에서는...","수심 2~110m의 모래나 모래진흙 바닥에 서식한다. 포란기는 4~8월이며, 조에아유생 4기를 거치고 수명은...",
BM-SPECIES-003106,낙지,Octopus minor,낙지,Octopus minor,scientific_exact,same,"서해안, 남해안 연안","일본, 중국, 서태평양",몸통은 긴 난형으로 길이가 너비의 2배정도이다. 몸 표면은 거의 매끄러우나 다양한 크기의 혹이나 돌기가 덮고...,연안저서종으로 수심 200m까지 서식한다.,
BM-SPECIES-005542,대게,Chionoecetes opilio,대게,Chionoecetes opilio,scientific_exact,same,동해,"동해, 일본 북부 연안 일대, 캄챠카 반도 및 알래스카 등 베링해와 북태평양 연안 일대, 그린란드 연안 일대",,,
BM-SPECIES-001056,대구,Gadus macrocephalus,대구,Gadus macrocephalus,scientific_exact,same,우리나라 전 연안,"일본, 오호츠크해, 베링해, 미국 남부","몸의 앞부분은 크고 원통형이지만 뒤로 갈수록 작고 측편되었다. 주둥이는 뭉툭하고, 양턱에 빗살 모양의 이가 ...","냉수역의 수심 10∼500m에 이르는 대륙봉과 대륙 사면에 서식한다. 어류나 갑각류를 먹으며, 산란기인 12...",
BM-SPECIES-003111,대문어,Enteroctopus dofleini,문어,Enteroctopus dofleini,scientific_exact,same,"제주도, 동해, 남해 연안에서 발견된다.",태평양의 온대해역과 일본 등에 서식하는 것으로 알려져 있다.,"몸은 타원형에 가깝고, 매우 유연하다. 표면에는 작은 돌기들이 많이 있다. 팔의 1/4지점까지 막이 잘 발달...",수심 3 - 100m 이내에 바위틈 또는 굴에 서식한다.,
BM-SPECIES-001166,도루묵,Arctoscopus japonicus,도루묵,Arctoscopus japonicus,scientific_exact,same,동해 연안,"일본, 캄차카, 사할린, 알라스카","성숙한 암컷은 16cm 내외, 수컷은 13cm 내외이다. 제1등지느러미 극조 수는 8-14개, 제 2등지느러...",우리나라에서 산란기는 10-12월이지만 주 산란기는 12월이다. 산란장은 동해 연안의 수심 2-10m 지역이...,
BM-SPECIES-000129,말쥐치,Thamnaconus modestus,말쥐치,Thamnaconus modestus,scientific_exact,same,우리나라 전 연안,"일본, 남중국해, 남아프리카",몸은 긴 타원형이다. 눈은 작고 가슴지느러미 위쪽에 있다. 주둥이는 길고 입은 그 끝에 작게 열린다. 제1등...,열대 및 아열대해역에 분포한다. 최대 36 cm까지 성장하며 16~18 cm에 성숙한다. 유어시기에는 해조류...,
BM-SPECIES-001057,명태,Theragra chalcogramma,명태,Gadus chalcogrammus,synonym,different,동해 중부 이북,"수심 200-350m 해역의 표층과 중층에 서식하며, 수심 30-60m에서 산란한다.","길이 34cm 내외이다. 제1등지느러미 기조 수 10-13개, 제2등지느러미 기조 수 14-18개, 제3등지...",우리나라에서 산란기는 12-3월이지만 주로 1-3월에 산란한다. 수심 200-350m 해역의 표층과 중층에 ...,"국명 일치, 학명은 다름 — 학명 개정(synonym) 가능성"
BM-SPECIES-003313,바지락,Ruditapes philippinarum,바지락,Ruditapes philippinarum,scientific_exact,same,한국 전역,"일본, 필리핀, 인도, 캐나다",패각은 긴난형으로 색체가 다양하다. 표면에는 방사상의 무늬와 성장맥이 교차하여 포목상의 무늬를 띤다. 각정은...,조간대 모래 진흙 바닥에 서식한다.,
BM-SPECIES-005541,붉은대게,Chionoecetes japonicus,홍게,Chionoecetes japonicus,scientific_exact,same,동해,"동해, 일본 북부 연안 일대",,,
BM-SPECIES-003117,살오징어,Todarodes pacificus,살오징어,Todarodes pacificus,scientific_exact,same,전해역,일본,"길이는 보통 30cm 내외이며, 생식다리가 길고, 교접기가 잘 발달해 있다.","과거에는 동해안에서 주로 잡혔으나 현재 우리나라 전역에서 출현한다. 일반적으로 오징어로 부르며, 가장 흔히 ...",
