field,sampleSize,tagPresentCount,tagMissingCount,emptyValueCount,populatedCount,populatedRate
CommKorNm,85,85,0,0,85,1.0
SpcScitfNm,85,85,0,0,85,1.0
SpcScitfNmShort,85,85,0,0,85,1.0
KingdomKR,85,85,0,0,85,1.0
PhylumDivisionKR,85,85,0,0,85,1.0
ClassKR,85,85,0,70,15,0.1765
OrderKR,85,85,0,6,79,0.9294
FamilyKR,85,85,0,3,82,0.9647
FORM,85,85,0,21,64,0.7529
ECOL,85,85,0,28,57,0.6706
HABI,85,85,0,80,5,0.0588
NADI,85,85,0,8,77,0.9059
INDI,85,85,0,10,75,0.8824
CorrNmTyp,85,85,0,0,85,1.0
CorrSpcScitfNm,85,85,0,0,85,1.0
SpcTyp,85,85,0,0,85,1.0
