internalId,requestedKoreanName,requestedScientificName,returnedCount,selectedKoreanName,selectedScientificNameShort,matchStatus,reviewReason
BM-SPECIES-000129,말쥐치,Thamnaconus modestus,1,말쥐치,Thamnaconus modestus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000408,삼치,Scomberomorus niphonius,1,삼치,Scomberomorus niphonius,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000417,고등어,Scomber japonicus,1,고등어,Scomber japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000444,갈치,Trichiurus japonicus,1,갈치,Trichiurus japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000488,전갱이,Trachurus japonicus,1,전갱이,Trachurus japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000825,옥돔,Branchiostegus japonicus,1,옥돔,Branchiostegus japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000900,갯장어,Muraenesox cinereus,1,갯장어,Muraenesox cinereus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001056,대구,Gadus macrocephalus,1,대구,Gadus macrocephalus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001057,명태,Gadus chalcogrammus,1,명태,Gadus chalcogrammus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-003111,문어,Enteroctopus dofleini,1,문어,Enteroctopus dofleini,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-003117,살오징어,Todarodes pacificus,1,살오징어,Todarodes pacificus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000002,볼락,Sebastes inermis,1,볼락,Sebastes inermis,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000019,쏨뱅이,Sebastiscus marmoratus,1,쏨뱅이,Sebastiscus marmoratus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000057,꼼치,Liparis tanakae,1,꼼치,Liparis tanakae,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000060,물메기,Liparis tessellatus,1,물메기,Liparis tessellatus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000065,양태,Platycephalus indicus,1,양태,Platycephalus indicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000080,아귀,Lophiomus setigerus,1,아귀,Lophiomus setigerus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000095,달고기,Zeus faber,1,달고기,Zeus faber,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000097,숭어,Mugil cephalus,1,숭어,Mugil cephalus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000122,쥐치,Stephanolepis cirrhifer,1,쥐치,Stephanolepis cirrhifer,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000188,농어,Lateolabrax japonicus,1,농어,Lateolabrax japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000223,망상어,Ditrema temminckii,1,망상어,Ditrema temminckii,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000226,자리돔,Chromis notata,1,자리돔,Chromis notata,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000278,돌돔,Oplegnathus fasciatus,1,돌돔,Oplegnathus fasciatus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000279,벵에돔,Girella punctata,1,벵에돔,Girella punctata,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000412,가다랑어,Katsuwonus pelamis,1,가다랑어,Katsuwonus pelamis,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000415,줄삼치,Sarda orientalis,1,줄삼치,Sarda orientalis,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000425,덕대,Pampus argenteus,1,덕대,Pampus argenteus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000426,병어,Pampus punctatissimus,1,병어,Pampus punctatissimus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000459,꼬치고기,Sphyraena pinguis,1,꼬치고기,Sphyraena pinguis,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000465,넙치,Paralichthys olivaceus,1,넙치,Paralichthys olivaceus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000473,돛새치,Istiophorus platypterus,1,돛새치,Istiophorus platypterus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000479,황새치,Xiphias gladius,1,황새치,Xiphias gladius,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000500,부시리,Seriola aureovittata,1,부시리,Seriola aureovittata,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000501,방어,Seriola quinqueradiata,1,방어,Seriola quinqueradiata,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000541,줄가자미,Clidoderma asperrimum,1,줄가자미,Clidoderma asperrimum,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000544,참가자미,Pseudopleuronectes herzensteini,1,참가자미,Pseudopleuronectes herzensteini,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000548,도다리,Pleuronichthys cornutus,1,도다리,Pleuronichthys cornutus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000553,홍가자미,Hippoglossoides dubius,1,홍가자미,Hippoglossoides dubius,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000554,돌가자미,Platichthys bicoloratus,1,돌가자미,Platichthys bicoloratus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000555,강도다리,Platichthys stellatus,1,강도다리,Platichthys stellatus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000594,놀래기,Halichoeres tenuispinis,1,놀래기,Halichoeres tenuispinis,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000649,홍어,Okamejei kenojei,1,홍어,Okamejei kenojei,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000710,먹장어,Eptatretus burgeri,1,먹장어,Eptatretus burgeri,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000751,감성돔,Acanthopagrus schlegelii,1,감성돔,Acanthopagrus schlegelii,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000755,참돔,Pagrus major,1,참돔,Pagrus major,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000800,독가시치,Siganus fuscescens,1,독가시치,Siganus fuscescens,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000818,보리멸,Sillago sihama,1,보리멸,Sillago sihama,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000840,민어,Miichthys miiuy,1,민어,Miichthys miiuy,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000881,꽁치,Cololabis saira,1,꽁치,Cololabis saira,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000884,학공치,Hyporhamphus sajori,1,학공치,Hyporhamphus sajori,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000908,붕장어,Conger myriaster,1,붕장어,Conger myriaster,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000935,곰치,Gymnothorax kidako,1,곰치,Gymnothorax kidako,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000958,황어,Pseudaspius hakonensis,1,황어,Pseudaspius hakonensis,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001012,쏠종개,Plotosus japonicus,1,쏠종개,Plotosus japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001022,청어,Clupea pallasii,1,청어,Clupea pallasii,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001029,멸치,Engraulis japonicus,1,멸치,Engraulis japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001030,준치,Ilisha elongata,1,준치,Ilisha elongata,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001037,전어,Konosirus punctatus,1,전어,Konosirus punctatus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001040,정어리,Sardinops melanosticta,1,정어리,Sardinops melanosticta,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001135,성대,Chelidonichthys spinosus,1,성대,Chelidonichthys spinosus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001153,쑤기미,Inimicus japonicus,1,쑤기미,Inimicus japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001157,미역치,Paracentropogon rubripinnis,1,미역치,Paracentropogon rubripinnis,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001161,임연수어,Pleurogrammus azonus,1,임연수어,Pleurogrammus azonus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001164,노래미,Hexagrammos agrammus,1,노래미,Hexagrammos agrammus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001165,쥐노래미,Hexagrammos otakii,1,쥐노래미,Hexagrammos otakii,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001204,자바리,Epinephelus bruneus,1,자바리,Epinephelus bruneus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001215,능성어,Hyporthodus septemfasciatus,1,능성어,Hyporthodus septemfasciatus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001227,다금바리,Niphon spinosus,1,다금바리,Niphon spinosus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-006084,갯강구,Ligia exotica,,,,failed,"매칭 실패: 학명검색(검색 결과 0건) → 국명재검색도 실패(검색결과 2건, 학명 정확 일치 없음 — 수동 검토 필요)"
BM-SPECIES-002852,우럭,Mya arenaria,1,우럭,Mya arenaria,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-003025,홍합,Mytilus coruscus,1,홍합,Mytilus coruscus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000557,기름가자미,Glyptocephalus stelleri,1,기름가자미,Glyptocephalus stelleri,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000642,참홍어,Beringraja pulchra,1,참홍어,Beringraja pulchra,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-000841,참조기,Larimichthys polyactis,1,참조기,Larimichthys polyactis,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-001166,도루묵,Arctoscopus japonicus,1,도루묵,Arctoscopus japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-003106,낙지,Octopus minor,1,낙지,Octopus minor,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-003107,주꾸미,Amphioctopus fangsiao,1,주꾸미,Amphioctopus fangsiao,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-005541,홍게,Chionoecetes japonicus,1,홍게,Chionoecetes japonicus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-005542,대게,Chionoecetes opilio,1,대게,Chionoecetes opilio,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-005640,꽃게,Portunus trituberculatus,1,꽃게,Portunus trituberculatus,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-002324,소라,Turbo sazae,1,소라,Turbo sazae,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-002418,오분자기,Haliotis supertexta,1,오분자기,Haliotis supertexta,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-002949,키조개,Atrina pectinata,1,키조개,Atrina pectinata,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
BM-SPECIES-003313,바지락,Ruditapes philippinarum,1,바지락,Ruditapes philippinarum,exact_match,"학명 정확 일치(단일, SpcScitfNmShort 기준)"
