sheet,row,scientificName,koreanName,reason
무척추동물,1223,Corbicula papyracea var. colorata,공주재첩,학명에 불확정 표기
무척추동물,3790,Achtheinus oblongus,매미상어물이,국명에 미상/미동정 표기
무척추동물,4846,Pseudopolydora cf. kempi,두점박이선녀얼굴갯지렁이,학명에 불확정 표기
식물,557,Jania pedunculata var. adhaerens,덩이애기산호말,학명에 불확정 표기
식물,591,Ahnfeltia fastigiata var. tobuchiensis,,학명에 불확정 표기
식물,607,Bryopsis pennata var. minor,애기깃털말,학명에 불확정 표기
식물,609,Bryopsis pennata var. secunda,편생깃털말,학명에 불확정 표기
식물,626,Monostroma grevillei var. arcticum,극홑파래,학명에 불확정 표기
식물,635,Caulerpa racemosa var. macrophysa,막덩굴,학명에 불확정 표기
식물,668,Lychaete japonica var. kajimurae,큰대마디말,학명에 불확정 표기
식물,672,Cladophora wrightiana var. minor,갈색대마디말,학명에 불확정 표기
식물,803,Fucus distichus subsp. evanescens,돌말,학명에 불확정 표기
식물,819,Desmarestia dudresnayi subsp. tabacoides,담배잎산말,학명에 불확정 표기
식물,827,Ectocarpus siliculosus var. dasycarpus,변이참솜털,학명에 불확정 표기
식물,917,Saccharina japonica var. ochotensis,북방다시마,학명에 불확정 표기
식물,918,Saccharina japonica var. religiosa,애기다시마,학명에 불확정 표기
식물,920,Agarum clathratum subsp. yakishiriense,구멍쇠미역,학명에 불확정 표기
식물,922,Ecklonia cava subsp. stolonifera,곰피,학명에 불확정 표기
식물,924,Ecklonia cava subsp. kurome,,학명에 불확정 표기
식물,961,Plantago major L. var. japonica,왕질경이,학명에 불확정 표기
식물,973,Polygonum aviculare var. fusco-ochreatum,제주큰옥매듭풀,학명에 불확정 표기
식물,984,Crinum asiaticum L. var. japonicum,문주란,학명에 불확정 표기
식물,998,Carex breviculmis R.Br. var. fibrillosa,갯청사초,학명에 불확정 표기
식물,1031,Setaria viridis (L.) P.Beauv. var. pachystachys,갯강아지풀,학명에 불확정 표기
식물,1036,Ischaemum aristatum L. var. glaucum,쇠보리,학명에 불확정 표기
식물,1043,Phacelurus latifolius (Steud.) Ohwi var. angustifolius,가는잎모새달,학명에 불확정 표기
식물,1056,Potentilla chinensis var. concolor,털딱지꽃,학명에 불확정 표기
식물,1062,Raphanus sativus var. hortensis f. raphanistroides,갯무,학명에 불확정 표기
식물,1091,Corispermum puberulum Iljin var. lissocarpum,장다리나물,학명에 불확정 표기
식물,1092,Kochia scoparia (L.) Schrad. var. littorea,갯댑싸리,학명에 불확정 표기
식물,1095,Chenopodium album var. stenophyllum,가는명아주,학명에 불확정 표기
식물,1108,Silene aprica Turcz. ex Fisch. & C.A.Mey. var. oldhamiana,갯장구채,학명에 불확정 표기
식물,1111,Honckenya peploides (L.) Ehrh. subsp. major,갯별꽃,학명에 불확정 표기
원생생물,444,Operculina complanata var. japonica,,학명에 불확정 표기
원생생물,469,Bolivina advena var. striatella,,학명에 불확정 표기
원생생물,496,Buliminella elegantissima var. tenuis,,학명에 불확정 표기
원생생물,656,Nonionella miocenica var. stella,,학명에 불확정 표기
원생생물,681,Baggina philippinensis subsp. pilulifera,,학명에 불확정 표기
원생생물,756,Elphidium advenum subsp. tongaense,,학명에 불확정 표기
원생생물,764,Elphidium hughesi var. foraminosum,,학명에 불확정 표기
원생생물,765,Elphidium advenum subsp. limbatum,,학명에 불확정 표기
원생생물,768,Elphidium excavatum subsp. clavatum,,학명에 불확정 표기
원생생물,901,Globorotalia scitula subsp. praescitula,,학명에 불확정 표기
원생생물,1073,Clavulina yabei subsp. akiensis,,학명에 불확정 표기
원생생물,1090,Karreriella baccata var. japonica,,학명에 불확정 표기
원생생물,1208,Triloculina terquemiana subsp. laevisiformis,,학명에 불확정 표기
원생생물,1331,Lenticulina calcar subsp. hyunghaensis,,학명에 불확정 표기
원생생물,1364,Lagena sulcata var. torquiformis,,학명에 불확정 표기
원생생물,1390,Lagena striata var. toddae,,학명에 불확정 표기
원생생물,1395,Lagena striata var. semiornata,,학명에 불확정 표기
원생생물,1414,Nodosaria scalaris var. spinescens,,학명에 불확정 표기
원생생물,1478,Fissurina crassiporosa subsp. kyoshimensis,,학명에 불확정 표기
원생생물,1503,Oolina lineata subsp. communis,,학명에 불확정 표기
원생생물,1510,Lagenosolenia lagenoides subsp. brevicarinata,,학명에 불확정 표기
원생생물,1526,Metapolymorphina charlottensis subsp. koreana,,학명에 불확정 표기
원생생물,1533,Pseudopolymorphina indica subsp. inchonensis,,학명에 불확정 표기
원생생물,1535,Pseudopolymorphina indica var. japonica,,학명에 불확정 표기
원생생물,1549,Guttulina irregularis subsp. nipponensis,,학명에 불확정 표기
원생생물,1628,Tryblionella littoralis var. tergestina,,학명에 불확정 표기
원생생물,1678,Grammatophora oceanica var. subtilissima,,학명에 불확정 표기
원생생물,1689,Thalassiothrix heteromorpha var. mediterranea,,학명에 불확정 표기
원생생물,1714,Amphora maletractata var. constricta,,학명에 불확정 표기
원생생물,1781,Eucampia zodiacus var. cornigera,,학명에 불확정 표기
원생생물,2040,Asteromphalus brookei var. robustus,,학명에 불확정 표기
원생생물,2067,Triceratium shadboltianum var. kittonii,,학명에 불확정 표기
원생생물,2190,Pinnularia nodosa var. percapitata,,학명에 불확정 표기
원생생물,2227,Fallacia forcipata var. densistriata,,학명에 불확정 표기
원생생물,2412,Navicula arenaria var. rostellata,,학명에 불확정 표기
원생생물,2416,Navicula salinarum var. rostrata,,학명에 불확정 표기
원생생물,2479,Gyrosigma fasciola var. tenuirostris,,학명에 불확정 표기
원생생물,2489,Gyrosigma tenuissimum var. angustissimum,,학명에 불확정 표기
원생생물,2538,Craticula riparia var. mollenhaueri,,학명에 불확정 표기
원생생물,2556,Licmophora gracilis var. anglica,,학명에 불확정 표기
원생생물,2571,Achnanthes brevipes var. angustata,,학명에 불확정 표기
원생생물,2572,Achnanthes brevipes var. intermedia,,학명에 불확정 표기
원생생물,2595,Cocconeis scutellum var. parva,,학명에 불확정 표기
원생생물,2673,Nitzschia reversa var. latus,,학명에 불확정 표기
원생생물,2676,Nitzschia littoralis var. tergestina,,학명에 불확정 표기
원생생물,2796,Staurastrum asteroideum var. nanum,,학명에 불확정 표기
미생물,14,Phoma macrostoma var. macrostoma,,학명에 불확정 표기
미생물,785,Biscogniauxia atropunctata var. maritima,,학명에 불확정 표기
