sourceId,koreanName,englishName,scientificName,prohibitSize,recommendSize,periodMonths,historyYears,imageCount
fish_1571806850754,갈치,Largehead hairtail,Trichiurus lepturus,18.0,25.0,3,25,3
fish_1575521941711,개조개,Purple washington clam,Saxidomus purpuratus,4.0,6.0,4,22,3
fish_1575529825083,갯장어,Daggertooth pike conger,Muraenesox cinereus,40.0,64.0,0,25,3
fish_1571803943319,고등어,Chub mackerel,Scomber japonicus,21.0,29.0,5,25,3
fish_1576639605223,기름가자미,Blackfin flounder,Glyptocephalus stelleri,20.0,27.0,0,10,2
fish_1576045793538,꽃게,"Swimming crab, Blue crab",Portunus trituberculatus,6.4,10.0,5,25,3
fish_1575596889118,낙지,Whiparm octopus,Octopus minor,70.0,116.0,3,25,3
fish_1576639605222,대게,Tanner crab,Chionoecetes opilio,9.0,,8,25,3
fish_1575613737728,대구,Pacific cod,Gadus macrocephalus,35.0,58.3,4,25,3
fish_1576639605224,대문어,Ocopus,Enteroctopus dofleini,600.0,7.0,12,25,2
fish_1575858517048,도루묵,Sailfin sandfish,Arctoscopus japonicus,11.0,17.0,4,25,3
fish_1575867824021,말쥐치,Black scraper,Thamnaconus modestus,18.0,26.0,5,25,3
fish_1575868769703,명태,"Alaska pollock, Walleye pollock",Theragra chalcogramma,,,12,17,2
fish_1575870984736,바지락,"Little neck clam, Japanese carpet shell",Ruditapes philippinarum,,,4,25,3
fish_1573537097812,붉은대게,Red snow crab,Chionoecetes japonicus,,,4,25,2
fish_1575875139974,살오징어,"Japanese flying squid, Common squid",Todarodes pacificus,15.0,20.0,4,25,3
fish_1576639605225,삼치,Japanese Spanish mackerel,Scomberomorus niphonius,,,3,25,2
fish_1575873437839,오분자기,Ear shell,Sulculus diversicolor,4.0,,5,25,2
fish_1575532529343,옥돔,Horse head fish,Branchiostegus japonicus,,25.0,4,25,3
fish_1576639605226,전갱이,Japanese jack mackerel,Trachurus japonicus,21.0,,0,25,2
fish_1575880014320,제주소라,Spiny top shell,"Turbo cornutus, Batillus cornutus",3.4,7.0,6,25,3
fish_1576639605227,주꾸미,Webfoot octopus,Amphioctopus fangsiao,,,6,25,2
fish_1575880791880,참조기,Yellow croaker,Larimichthys polyactis,15.0,17.1,5,25,3
fish_1575881532404,참홍어,Mottled skate,Raja pulchra,79.0,89.3,4,15,3
fish_1575882272758,키조개,Comb pen shell,Atrina pectinata,18.0,21.0,4,25,2
