sourceId,koreanName,colorLevel,displayStatus,thumbnailFileName
fish_1571806850754,갈치,2,N,fish_1571806850754_157674598002903.jpg
fish_1575521941711,개조개,2,N,fish_1575521941711_157559580209902.jpg
fish_1575529825083,갯장어,0,Y,fish_1575529825083_157559555830402.jpg
fish_1571803943319,고등어,1,Y,fish_1571803943319_157674659122903.jpg
fish_1576639605223,기름가자미,0,,MF0004253_DG0102_watermark.jpg
fish_1576045793538,꽃게,2,Y,fish_1576045793538_157673904399103.jpg
fish_1575596889118,낙지,1,Y,fish_1575596889118_157674589028103.jpg
fish_1576639605222,대게,2,Y,fish_1576639605222_157674675122403.jpg
fish_1575613737728,대구,0,Y,fish_1575613737728_157674679290203.jpg
fish_1576639605224,대문어,1,,1509003134918_watermark.jpg
fish_1575858517048,도루묵,0,Y,fish_1575858517048_157674685442003.jpg
fish_1575867824021,말쥐치,2,Y,fish_1575867824021_157673990294203.jpg
fish_1575868769703,명태,2,N,fish_1575868769703_157586995711901.jpg
fish_1575870984736,바지락,2,N,fish_1575870984736_157674004767503.jpg
fish_1573537097812,붉은대게,2,Y,fish_1573537097812_157674010419302.jpg
fish_1575875139974,살오징어,0,Y,fish_1575875139974_157674022055003.jpg
fish_1576639605225,삼치,0,,MF0001614_DG0102_watermark.jpg
fish_1575873437839,오분자기,2,Y,fish_1575873437839_157674075188002.jpg
fish_1575532529343,옥돔,2,Y,fish_1575532529343_157674505187903.jpg
fish_1576639605226,전갱이,0,,MF0009707_DG0102_watermark.jpg
fish_1575880014320,제주소라,2,Y,fish_1575880014320_157674058170703.jpg
fish_1576639605227,주꾸미,2,,1538547831758_watermark.jpg
fish_1575880791880,참조기,2,Y,fish_1575880791880_157674638524003.jpg
fish_1575881532404,참홍어,2,Y,fish_1575881532404_157674663915403.jpg
fish_1575882272758,키조개,2,Y,fish_1575882272758_157674118312502.jpg
