sourceId,koreanName,reviewReason,fieldName,sourceValue,recommendedAction
fish_1571806850754,갈치,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1571806850754,갈치,목록·상세 이미지 동일,sourceImages,fish_1571806850754_157674598002903.jpg,대표 이미지 1장만 사용
fish_1575521941711,개조개,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575521941711,개조개,목록·상세 이미지 동일,sourceImages,fish_1575521941711_157559580209902.jpg,대표 이미지 1장만 사용
fish_1575521941711,개조개,목록·상세 이미지 동일,sourceImages,fish_1575521941711_157559598687302.jpg,대표 이미지 1장만 사용
fish_1575529825083,갯장어,목록·상세 이미지 동일,sourceImages,fish_1575529825083_157559555830402.jpg,대표 이미지 1장만 사용
fish_1571803943319,고등어,목록·상세 이미지 동일,sourceImages,fish_1571803943319_157674659122903.jpg,대표 이미지 1장만 사용
fish_1576639605223,기름가자미,목록·상세 이미지 동일,sourceImages,MF0004253_DG0102_watermark.jpg,대표 이미지 1장만 사용
fish_1576045793538,꽃게,목록·상세 이미지 동일,sourceImages,fish_1576045793538_157673904399103.jpg,대표 이미지 1장만 사용
fish_1575596889118,낙지,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575596889118,낙지,목록·상세 이미지 동일,sourceImages,fish_1575596889118_157674589028103.jpg,대표 이미지 1장만 사용
fish_1576639605222,대게,목록·상세 이미지 동일,sourceImages,fish_1576639605222_157674675122403.jpg,대표 이미지 1장만 사용
fish_1575613737728,대구,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575613737728,대구,목록·상세 이미지 동일,sourceImages,fish_1575613737728_157674679290203.jpg,대표 이미지 1장만 사용
fish_1576639605224,대문어,목록·상세 이미지 동일,sourceImages,1509003134918_watermark.jpg,대표 이미지 1장만 사용
fish_1575858517048,도루묵,목록·상세 이미지 동일,sourceImages,fish_1575858517048_157674685442003.jpg,대표 이미지 1장만 사용
fish_1575867824021,말쥐치,목록·상세 이미지 동일,sourceImages,fish_1575867824021_157673990294203.jpg,대표 이미지 1장만 사용
fish_1575868769703,명태,지양 크기 없음,prohibitSize,,규정 원문 대조 필요
fish_1575868769703,명태,목록·상세 이미지 동일,sourceImages,fish_1575868769703_157586995711901.jpg,대표 이미지 1장만 사용
fish_1575870984736,바지락,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575870984736,바지락,지양 크기 없음,prohibitSize,,규정 원문 대조 필요
fish_1575870984736,바지락,목록·상세 이미지 동일,sourceImages,fish_1575870984736_157674004767503.jpg,대표 이미지 1장만 사용
fish_1573537097812,붉은대게,지양 크기 없음,prohibitSize,,규정 원문 대조 필요
fish_1573537097812,붉은대게,목록·상세 이미지 동일,sourceImages,fish_1573537097812_157674010419302.jpg,대표 이미지 1장만 사용
fish_1575875139974,살오징어,목록·상세 이미지 동일,sourceImages,fish_1575875139974_157674022055003.jpg,대표 이미지 1장만 사용
fish_1576639605225,삼치,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1576639605225,삼치,지양 크기 없음,prohibitSize,,규정 원문 대조 필요
fish_1576639605225,삼치,목록·상세 이미지 동일,sourceImages,MF0001614_DG0102_watermark.jpg,대표 이미지 1장만 사용
fish_1575873437839,오분자기,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575873437839,오분자기,목록·상세 이미지 동일,sourceImages,fish_1575873437839_157674075188002.jpg,대표 이미지 1장만 사용
fish_1575532529343,옥돔,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575532529343,옥돔,지양 크기 없음,prohibitSize,,규정 원문 대조 필요
fish_1575532529343,옥돔,목록·상세 이미지 동일,sourceImages,fish_1575532529343_157674505187903.jpg,대표 이미지 1장만 사용
fish_1576639605226,전갱이,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1576639605226,전갱이,목록·상세 이미지 동일,sourceImages,MF0009707_DG0102_watermark.jpg,대표 이미지 1장만 사용
fish_1575880014320,제주소라,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575880014320,제주소라,목록·상세 이미지 동일,sourceImages,fish_1575880014320_157674058170703.jpg,대표 이미지 1장만 사용
fish_1576639605227,주꾸미,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1576639605227,주꾸미,지양 크기 없음,prohibitSize,,규정 원문 대조 필요
fish_1576639605227,주꾸미,목록·상세 이미지 동일,sourceImages,1538547831758_watermark.jpg,대표 이미지 1장만 사용
fish_1575880791880,참조기,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575880791880,참조기,목록·상세 이미지 동일,sourceImages,fish_1575880791880_157674638524003.jpg,대표 이미지 1장만 사용
fish_1575881532404,참홍어,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575881532404,참홍어,목록·상세 이미지 동일,sourceImages,fish_1575881532404_157674663915403.jpg,대표 이미지 1장만 사용
fish_1575882272758,키조개,출처가 NA를 반환,eatingNote,NA,설명 없음으로 처리 — 서비스 노출 제외
fish_1575882272758,키조개,목록·상세 이미지 동일,sourceImages,fish_1575882272758_157674118312502.jpg,대표 이미지 1장만 사용
