sourceId,koreanName,field
fish_1571806850754,갈치,eatingNote
fish_1575521941711,개조개,eatingNote
fish_1575596889118,낙지,eatingNote
fish_1576639605222,대게,recommendSize
fish_1575613737728,대구,eatingNote
fish_1575867824021,말쥐치,dialect
fish_1575868769703,명태,prohibitSize
fish_1575868769703,명태,recommendSize
fish_1575870984736,바지락,eatingNote
fish_1575870984736,바지락,prohibitSize
fish_1575870984736,바지락,recommendSize
fish_1573537097812,붉은대게,prohibitSize
fish_1573537097812,붉은대게,recommendSize
fish_1576639605225,삼치,eatingNote
fish_1576639605225,삼치,prohibitSize
fish_1576639605225,삼치,recommendSize
fish_1575873437839,오분자기,eatingNote
fish_1575873437839,오분자기,recommendSize
fish_1575532529343,옥돔,dialect
fish_1575532529343,옥돔,eatingNote
fish_1575532529343,옥돔,prohibitSize
fish_1576639605226,전갱이,eatingNote
fish_1576639605226,전갱이,recommendSize
fish_1575880014320,제주소라,eatingNote
fish_1576639605227,주꾸미,eatingNote
fish_1576639605227,주꾸미,prohibitSize
fish_1576639605227,주꾸미,recommendSize
fish_1575880791880,참조기,eatingNote
fish_1575881532404,참홍어,eatingNote
fish_1575882272758,키조개,eatingNote
