id,name,existingLat,existingLng,convertedLat,convertedLng,originalPoint,reason
boat-143,추도 부근 - 대항승선장부근해상,34.758680,28.300338,34.7587,128.3003,POINT (1073243.27558075 1640760.96774243),INVALID_COORDINATE
boat-301,칠천도·가조도 - 마당서부근해상,34.968000,,34.968,128.506056,POINT (1091841.59704977 1664141.52241572),LAT_ONLY
boat-300,제주도 북동부·우도 - 천진항앞해상,33.485472,,33.485472,126.941306,POINT (948096.469905671 1499433.14253981),LAT_ONLY
boat-327,제주도 북동부·우도 - 김녕리앞해상,,126.775139,33.576639,126.775139,POINT (932729.693808265 1509636.47736892),LNG_ONLY
rock-300,장산도 - 차돌이,34.661556,,34.661556,126.188583,POINT (879836.679920866 1630479.07465587),LAT_ONLY
rock-301,진도 남서부 - 백미도 부근 갯바위,34.359389,,34.359389,126.131861,POINT (874185.5313562091 1597038.32569831),LAT_ONLY
rock-302,상조도·하조도·관매도 - 하조도 물치끝(낚시배 이용),34.292028,,34.292028,126.015833,POINT (863405.5991566869 1589718.07776419),LAT_ONLY
rock-303,가거도 - 노랑섭날 갯바위,34.073083,,34.073083,125.088056,POINT (777428.42998948 1567069.88749999),LAT_ONLY
rock-304,가거도 - 대국흘도 갯바위,34.117361,,34.117361,125.082861,POINT (777065.1928965121 1571992.35865861),LAT_ONLY
rock-305,완도 - 칠암각 갯바위,34.327056,,34.327056,126.643194,POINT (921179.312646607 1592937.55295865),LAT_ONLY
rock-306,금당도 - 육산리 해변,34.428333,,34.428333,127.036611,POINT (957422.855566604 1603932.71223452),LAT_ONLY
rock-307,초도 - 내항도,34.223194,,34.223194,127.224556,POINT (974629.991306861 1581123.06242902),LAT_ONLY
rock-308,남해도 동부·신수도·창선도 - 신수도 남쪽 갯바위(구 초소),34.889361,,34.889361,128.080528,POINT (1053045.64399178 1655112.44073292),LAT_ONLY
rock-309,두미도 - 용머리,34.687083,,34.687083,128.194861,POINT (1063648.21653941 1632747.31907966),LAT_ONLY
rock-310,울릉도 - 코끼리바위 갯바위,37.540250,,37.54025,130.847139,POINT (1295738.66635058 1954258.67637407),LAT_ONLY
rock-311,가의도 - 북측 끝단 갯바위,36.692028,,36.692028,126.082556,POINT (873370.8222709581 1855829.90043873),LAT_ONLY
rock-312,청산도·대모도 - 대모도 북곧말 갯바위,34.210583,,34.210583,126.763944,POINT (932194.361904479 1579935.30251934),LAT_ONLY
