normalizedAddress,originalAddress,centerIds,centerNames,centerTypes,region,city,officialUrls,sourceUrls,needsManualReview,reviewReason
강원도 동해시 임항로 29 동해해양경찰서,강원도 동해시 임항로 29 동해해양경찰서,gangwon-donghae-pc-written-test,강원(동해)PC,written-test,강원,동해시,http://dmaps.kr/3o8wx,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
강원도 삼척시 근덕면 덕산해변길 104,강원도 삼척시 근덕면 덕산해변길 104,gangwon-yacht-samcheok-practical-test|gangwon-yacht-samcheok-safety-education|gangwon-samcheok-exemption-education,강원요트(삼척)|강원(삼척),practical-test|safety-education|exemption-education,강원,삼척시,http://dmaps.kr/3p5qm,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do|https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
강원도 속초시 동명항길 35 속초해양경찰서,강원도 속초시 동명항길 35 속초해양경찰서,gangwon-sokcho-pc-written-test,강원(속초)PC,written-test,강원,속초시,http://kko.to/y8UzwSz0M,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
강원도 춘천시 고산배터길 27-6,강원도 춘천시 고산배터길 27-6,gangwon-chuncheon-practical-test|gangwon-chuncheon-safety-education,강원(춘천),practical-test|safety-education,강원,춘천시,http://dmaps.kr/3p5qs,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do|https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경기도 가평군 청평면 호반로 162,경기도 가평군 청평면 호반로 162,gyeonggi-gapyeong-safety-education,경기(가평),safety-education,경기,가평군,,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,false,OFFICIAL_URL_MISSING_1_ITEMS
경기도 가평군 호반로 162,경기도 가평군 호반로 162,gyeonggi-gapyeong-special-written-test|gyeonggi-gapyeong-practical-test,경기(가평),written-test|practical-test,경기,가평군,http://dmaps.kr/3o96n,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경기도 김포시 고촌읍 아라육로 270번길 73,경기도 김포시 고촌읍 아라육로 270번길 73,gyeonggi-yacht-gimpo-exemption-education,경기요트(김포),exemption-education,경기,김포시,http://dmaps.kr/3o972,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경기도 김포시 고촌읍 아라육로270번길 74,경기도 김포시 고촌읍 아라육로270번길 74,gyeonggi-gimpo-pc-written-test,경기(김포)PC,written-test,경기,김포시,http://kko.to/UArS00v-r,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경기도 시흥시 거북섬5길 16,경기도 시흥시 거북섬5길 16,gyeonggi-siheung-practical-test|exemption-education-94,경기(시흥)|경기(시흥) / 경기요트(시흥),practical-test|exemption-education,경기,시흥시,http://kko.to/EGBhAKfjB,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,OFFICIAL_URL_MISSING_1_ITEMS
경기도 시흥시 거북섬5길 16 거북섬프라자 201호,경기도 시흥시 거북섬5길 16 거북섬프라자 201호,gyeonggi-siheung-safety-education,경기(시흥),safety-education,경기,시흥시,,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,false,OFFICIAL_URL_MISSING_1_ITEMS
경기도 안산시 단원구 대부황금로 1569 안산파출소,경기도 안산시 단원구 대부황금로 1569 안산파출소,gyeonggi-ansan-pc-written-test,경기(안산)PC,written-test,경기,안산시,http://kko.to/loYd0L80H,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경기도 안산시 단원구 선감동 대부황금로 7,경기도 안산시 단원구 선감동 대부황금로 7,exemption-education-95,경기(안산) / 경기요트(안산),exemption-education,경기,안산시,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,OFFICIAL_URL_MISSING_1_ITEMS
경기도 여주시 강변북로 163,경기도 여주시 강변북로 163,gyeonggi-yeoju-special-written-test|gyeonggi-yeoju-practical-test|gyeonggi-yeoju-safety-education,경기(여주),written-test|practical-test|safety-education,경기,여주시,http://dmaps.kr/7w7na,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do|https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경기도 평택시 포승읍 서동대로437-27 평택해양경찰서,경기도 평택시 포승읍 서동대로437-27 평택해양경찰서,gyeonggi-pyeongtaek-pc-written-test,경기(평택)PC,written-test,경기,평택시,http://dmaps.kr/59e85,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
"경기도 화성시 서신면 전곡항로 14번길, 1-26","경기도 화성시 서신면 전곡항로 14번길, 1-26",gyeonggi-yacht-hwaseong-exemption-education,경기요트(화성),exemption-education,경기,화성시,http://dmaps.kr/3oa59,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경남 창원시 진해구 천자로 160,경남 창원시 진해구 천자로 160,gyeongnam-changwon-safety-education,경남(창원),safety-education,경남,창원시,,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,false,OFFICIAL_URL_MISSING_1_ITEMS
경상남도 거제시 남부면 남부해안로 1035,경상남도 거제시 남부면 남부해안로 1035,gyeongnam-yacht-geoje-practical-test|gyeongnam-yacht-geoje-safety-education|exemption-education-98,경남요트(거제)|경남(거제남부) / 경남요트(거제),practical-test|safety-education|exemption-education,경남,거제시,http://kko.to/8EVT8jc0T,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do|https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,false,OFFICIAL_URL_MISSING_1_ITEMS
경상남도 거제시 일운면 지세포해안로 43,경상남도 거제시 일운면 지세포해안로 43,gyeongnam-geoje-ilun-exemption-education,경남(거제일운),exemption-education,경남,거제시,http://dmaps.kr/3p5n5,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경상남도 고성군 회화면 당항길 154-23,경상남도 고성군 회화면 당항길 154-23,gyeongnam-goseong-exemption-education,경남(고성),exemption-education,경남,고성군,http://kko.to/oL3LRC2U3,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경상남도 고성군 회화면 회진로 482,경상남도 고성군 회화면 회진로 482,gyeongnam-yacht-goseong-exemption-education,경남요트(고성),exemption-education,경남,고성군,http://kko.to/hgfLC1m0x,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
경상남도 마산시 진동면 광암해안길 118,경상남도 마산시 진동면 광암해안길 118,gyeongnam-masan-exemption-education,경남(마산),exemption-education,경남,창원시,http://dmaps.kr/3p5nc,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,false,AUTO_GEOCODING_CANDIDATE
