"sourceId","internalId","koreanName","scientificName","marineClass","proposedMarineClass","readiness","identityConfidence","sourceProvider","sourceSheet","sourceRow","phylum","class","order","family","genus","reviewReasons","productRelevance"
"MBRIS:무척추동물:3","BM-SPECIES-001555","꼬마말발조개","Axinopsida subquadrata","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","3","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Thyasiridae Dall, 1900 (1895)","Axinopsida Keen & Chavan, 1951","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:4","BM-SPECIES-001556","곧은줄꽃잎조개","Liralucina plicatula","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","4","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Liralucina Glover & J. D. Taylor, 2007","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:5","BM-SPECIES-001557","보름달꽃잎조개","Pseudolucinisca japonica","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","5","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Pseudolucinisca Chavan, 1959","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:6","BM-SPECIES-001558","둥근달꽃잎조개","Ctena bella","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","6","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Ctena Mörch, 1861","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:7","BM-SPECIES-001559","쌍가르마꽃잎조개","Divalucina soyoae","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","7","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Divalucina Iredale, 1936","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:8","BM-SPECIES-001560","잔주름꽃잎조개","Chavania striata","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","8","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Chavania Glover & J.D. Taylor, 2001","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:9","BM-SPECIES-001561","요시다꽃잎조개","Lucinoma yoshidai","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","9","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Lucinoma Dall, 1901","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:10","BM-SPECIES-001562","둥근고리꽃잎조개","Lucinoma soliditesta","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","10","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Lucinoma Dall, 1901","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:11","BM-SPECIES-001563","둥근말발조개","Leucosphaera oyamai","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","11","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Leucosphaera J.D. Taylor & Glover, 2005","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
"MBRIS:무척추동물:12","BM-SPECIES-001564","매화꽃잎조개","Pillucina pisidium","BIVALVE","BIVALVE","MARINE_ORGANISM_READY","1","MBRIS","무척추동물","12","Mollusca","Bivalvia Linnaeus, 1758","Lucinida Gray, 1854","Lucinidae J. Fleming, 1828","Pillucina Pilsbry, 1921","[]","{""seafoodEncyclopedia"":""REVIEW_REQUIRED"",""fishingTarget"":""REVIEW_REQUIRED"",""baitSpecies"":""REVIEW_REQUIRED"",""shellfish"":""CATEGORY_CANDIDATE"",""crustacean"":""NO"",""cephalopod"":""NO"",""marineBiodiversityReference"":true}"
