mbrisSourceId,internalId,koreanName,scientificName,normalizedScientificName,canonicalSlug,primaryClass,reason,legacyLocalMatch,legacyMappingRequired,secondaryFlags,collisions
"MBRIS:척추동물:4","BM-SPECIES-000002","볼락","Sebastes inermis","Sebastes inermis","sebastes-inermis","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_SOURCE_LINK","true","[""FISH_DATA_LINKED_korean_candidate"",""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:6","BM-SPECIES-000004","황점볼락","Sebastes oblongus","Sebastes oblongus","sebastes-oblongus","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_NAME_MATCH","true","[""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:13","BM-SPECIES-000011","개볼락","Sebastes pachycephalus","Sebastes pachycephalus","sebastes-pachycephalus","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_NAME_MATCH","true","[""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:16","BM-SPECIES-000014","노랑볼락","Sebastes steindachneri","Sebastes steindachneri","sebastes-steindachneri","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_NAME_MATCH","true","[""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:17","BM-SPECIES-000015","불볼락","Sebastes thompsoni","Sebastes thompsoni","sebastes-thompsoni","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_NAME_MATCH","true","[""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:21","BM-SPECIES-000019","쏨뱅이","Sebastiscus marmoratus","Sebastiscus marmoratus","sebastiscus-marmoratus","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_SOURCE_LINK","true","[""FISH_DATA_LINKED_korean_candidate"",""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:22","BM-SPECIES-000020","붉은쏨뱅이","Sebastiscus tertius","Sebastiscus tertius","sebastiscus-tertius","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_NAME_MATCH","true","[""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:44","BM-SPECIES-000042","삼세기","Hemitripterus villosus","Hemitripterus villosus","hemitripterus-villosus","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_NAME_MATCH","true","[""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:59","BM-SPECIES-000057","꼼치","Liparis tanakae","Liparis tanakae","liparis-tanakae","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_SOURCE_LINK","true","[""FISH_DATA_LINKED_korean_candidate"",""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
"MBRIS:척추동물:62","BM-SPECIES-000060","물메기","Liparis tessellatus","Liparis tessellatus","liparis-tessellatus","LINK_LEGACY_AND_PROMOTE_NEW","A local UI fish record exists, but no staging canonical identity exists; create a new canonical species and retain a legacy mapping.","LEGACY_LOCAL_SOURCE_LINK","true","[""FISH_DATA_LINKED_korean_candidate"",""LOCAL_UI_NAME_MATCH""]","{""id"":false,""sourceId"":false,""scientific"":false,""normalizedScientific"":false,""slug"":false,""relation"":false}"
