canonicalId,internalId,mbrisSourceId,koreanName,scientificName,normalizedScientificName,slug,classification,legacyMappingRequired,publishStatus,reviewStatus,relationPlan,lineagePlan
"BM-SPECIES-000002","BM-SPECIES-000002","MBRIS:척추동물:4","볼락","Sebastes inermis","Sebastes inermis","sebastes-inermis","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:4"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:4"",""originalKoreanName"":""볼락"",""originalScientificName"":""Sebastes inermis"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000004","BM-SPECIES-000004","MBRIS:척추동물:6","황점볼락","Sebastes oblongus","Sebastes oblongus","sebastes-oblongus","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:6"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:6"",""originalKoreanName"":""황점볼락"",""originalScientificName"":""Sebastes oblongus"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000011","BM-SPECIES-000011","MBRIS:척추동물:13","개볼락","Sebastes pachycephalus","Sebastes pachycephalus","sebastes-pachycephalus","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:13"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:13"",""originalKoreanName"":""개볼락"",""originalScientificName"":""Sebastes pachycephalus"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000014","BM-SPECIES-000014","MBRIS:척추동물:16","노랑볼락","Sebastes steindachneri","Sebastes steindachneri","sebastes-steindachneri","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:16"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:16"",""originalKoreanName"":""노랑볼락"",""originalScientificName"":""Sebastes steindachneri"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000015","BM-SPECIES-000015","MBRIS:척추동물:17","불볼락","Sebastes thompsoni","Sebastes thompsoni","sebastes-thompsoni","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:17"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:17"",""originalKoreanName"":""불볼락"",""originalScientificName"":""Sebastes thompsoni"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000019","BM-SPECIES-000019","MBRIS:척추동물:21","쏨뱅이","Sebastiscus marmoratus","Sebastiscus marmoratus","sebastiscus-marmoratus","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:21"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:21"",""originalKoreanName"":""쏨뱅이"",""originalScientificName"":""Sebastiscus marmoratus"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000020","BM-SPECIES-000020","MBRIS:척추동물:22","붉은쏨뱅이","Sebastiscus tertius","Sebastiscus tertius","sebastiscus-tertius","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:22"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:22"",""originalKoreanName"":""붉은쏨뱅이"",""originalScientificName"":""Sebastiscus tertius"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000042","BM-SPECIES-000042","MBRIS:척추동물:44","삼세기","Hemitripterus villosus","Hemitripterus villosus","hemitripterus-villosus","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:44"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:44"",""originalKoreanName"":""삼세기"",""originalScientificName"":""Hemitripterus villosus"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000057","BM-SPECIES-000057","MBRIS:척추동물:59","꼼치","Liparis tanakae","Liparis tanakae","liparis-tanakae","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:59"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:59"",""originalKoreanName"":""꼼치"",""originalScientificName"":""Liparis tanakae"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
"BM-SPECIES-000060","BM-SPECIES-000060","MBRIS:척추동물:62","물메기","Liparis tessellatus","Liparis tessellatus","liparis-tessellatus","LINK_LEGACY_AND_PROMOTE_NEW","true","draft","pending","{""action"":""INSERT_IF_ABSENT"",""sourceProvider"":""MBRIS"",""sourceId"":""mbris-national-species-catalog"",""mbrisSourceId"":""MBRIS:척추동물:62"",""isPrimary"":true}","{""action"":""INSERT_IMPORT_LINEAGE"",""sourceProvider"":""MBRIS"",""mbrisSourceId"":""MBRIS:척추동물:62"",""originalKoreanName"":""물메기"",""originalScientificName"":""Liparis tessellatus"",""importBatch"":""mbris-review-ready-import-manifest-v1""}"
