recordType,internalId,mbrisSourceId,koreanName,scientificName,normalizedScientificName,canonicalSlug,action,initialPublishStatus,initialFactReviewStatus,priority,tier,taxonomyKingdom,taxonomyClass,taxonomyOrder,taxonomyFamily
NEW_SPECIES,BM-SPECIES-000001,MBRIS:척추동물:3,돌삼뱅이,Sebastes baramenuke,Sebastes baramenuke,sebastes-baramenuke,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000003,MBRIS:척추동물:5,도화볼락,Sebastes joyneri,Sebastes joyneri,sebastes-joyneri,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000005,MBRIS:척추동물:7,황볼락,Sebastes owstoni,Sebastes owstoni,sebastes-owstoni,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000006,MBRIS:척추동물:8,세줄볼락,Sebastes trivittatus,Sebastes trivittatus,sebastes-trivittatus,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000007,MBRIS:척추동물:9,말락볼락,Sebastes wakiyai,Sebastes wakiyai,sebastes-wakiyai,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000008,MBRIS:척추동물:10,띠볼락,Sebastes zonatus,Sebastes zonatus,sebastes-zonatus,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000009,MBRIS:척추동물:11,황해볼락,Sebastes koreanus,Sebastes koreanus,sebastes-koreanus,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000010,MBRIS:척추동물:12,누루시볼락,Sebastes vulpes,Sebastes vulpes,sebastes-vulpes,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000012,MBRIS:척추동물:14,조피볼락,Sebastes schlegelii,Sebastes schlegelii,sebastes-schlegelii,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000013,MBRIS:척추동물:15,황점개볼락,Sebastes nudus,Sebastes nudus,sebastes-nudus,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
NEW_SPECIES,BM-SPECIES-000016,MBRIS:척추동물:18,흰꼬리볼락,Sebastes longispinis,Sebastes longispinis,sebastes-longispinis,INSERT,draft,pending,25,C,척추동물,Teleostei,Perciformes,"Scorpaenidae Risso, 1827"
