id,category,subCategory,detailCategory,tags
1,항해·해도·항로표지,등화,등화,야간항행|등화식별|항해등|경계|파랑
2,조석·조류·해류,조석,조석,조석|만조|간조|고조|저조|조류
3,조석·조류·해류,조석,조석,좌초|조석|만조|간조|조차|대조
4,기상 및 해양환경,기상현상,전선·기압,온난전선|바람|전선|기단|기온|습도
5,기상 및 해양환경,해양환경,해양환경,기수|염도|해수|수심
6,조석·조류·해류,조석,조석,조석|만조|간조|고조|저조|사리
7,기상 및 해양환경,파랑,파랑,바람|파도|파랑|풍랑|너울|해면
8,조석·조류·해류,조석,조석,정지|조석|고조|저조|조차|대조
9,조석·조류·해류,조석,조석,조석|저조|조석표|월령|삭|망
10,조석·조류·해류,조류,조류,대지속력|대수속력|모터보트|조류|순조|역조
11,조석·조류·해류,조석,조석,조석|조차|대조|사리|상현|하현
12,조석·조류·해류,조류,조류,선수|유압|조류|해류|바람|침로
13,기상 및 해양환경,기상현상,전선·기압,바람|해륙풍|기압|고기압|저기압|기온
14,기상 및 해양환경,기상현상,전선·기압,기압|저기압|구름
15,기상 및 해양환경,안개,안개,냉각|안개|복사무|이류무|해무|전선
16,기상 및 해양환경,바람,바람,바람|풍향|풍속
17,기상 및 해양환경,기상현상,전선·기압,기압|고기압|저기압|구름
18,기상 및 해양환경,기상현상,전선·기압,상현|태풍|기압|전선|해수
19,기상 및 해양환경,태풍,태풍,위험반원|가항반원|태풍|바람|강풍|기압
20,기상 및 해양환경,안개,안개,무중신호|안개|컴퍼스|입항|속력
21,기상 및 해양환경,안개,안개,안개|기온|운항|항로
22,기상 및 해양환경,바람,바람,바람|풍속|기압|기온|파도|파고
23,구명·조난·소방,구명설비,구명설비,구명뗏목|조난|승선
24,구명·조난·소방,구명설비,구명설비,구명뗏목|구명줄|조난|전복|표류|바람
25,구명·조난·소방,구명설비,구명설비,구명뗏목|구명정|조난
26,구명·조난·소방,소방,화재·소화,구명부환|조난신호|조난|화재|연소|화염
27,선박 조종술 및 운용,운항,운항상식,로프의 시험 하중
28,구명·조난·소방,구명설비,구명설비,구명조끼|키
29,구명·조난·소방,구명설비,구명설비,구명조끼
30,구명·조난·소방,소방,화재·소화,호흡|화재|소방|비상|오염
31,구명·조난·소방,소방,화재·소화,모터보트|화재|소화기|소화|연료|엔진
32,응급처치·인명구조,인명구조,익수자 구조,익수자
33,응급처치·인명구조,인명구조,익수자 구조,선수|선미|익수자|전복
34,구명·조난·소방,구명설비,구명설비,물에 빠|구명조끼|전복
35,구명·조난·소방,사고대응,사고대응,인명구조|구명조끼|침수|좌초|퇴선|수심
36,구명·조난·소방,구명설비,구명설비,인명구조|구명부환|신고
37,선박 조종술 및 운용,운항,운항상식,기상특보|모터보트|운항|소화|전복|파도
38,응급처치·인명구조,인명구조,익수자 구조,익수자|조종|구명환|후진|속력
39,항해·해도·항로표지,음향신호,음향신호,무중신호|안개|시정|항해등|기적|투묘
40,선박 조종술 및 운용,운항,운항상식,선미|모터보트|전복|파도|운항
41,선박 조종술 및 운용,운항,운항상식,모터보트|운항 경로|물때|운항|좌초|간조
42,기상 및 해양환경,파랑,파랑,폭풍우|소화|전복|파도|우현|조종
43,구명·조난·소방,사고대응,표류·구조요청,연료고갈|표류|위치확인|구조요청|GPS
44,구명·조난·소방,구명설비,구명설비,물에 빠|구명조끼|구명부환|구명뗏목|구명부기|구명줄
45,구명·조난·소방,소방,화재·소화,화재|소화기|소화|전기|엔진|오염
46,선박 조종술 및 운용,운항,임의좌주·사고대응,임의좌주|해안선정|이초|선체기울임|만조|간조
47,구명·조난·소방,사고대응,해양사고 대응,해양사고 대처|침수|조류|바람|파도|수심
48,기관 및 정비,기관기초,기관기초,침수|기관|해수|수심|충돌|후진
49,조석·조류·해류,조석,조석,좌초|전복|기관|조석|고조|저조
50,응급처치·인명구조,인명구조,익수자 구조,물에 빠|수상오토바이|구명조끼|시동
51,선박 조종술 및 운용,조종,조종술,조류|파랑|해면|등화|항해등|정박등
52,선박 조종술 및 운용,운항,운항상식,수상오토바이|전복|파도
53,선박 조종술 및 운용,운항,운항상식,해리
54,조석·조류·해류,조류,조류,조류|수로
55,항해·해도·항로표지,해도,해도,기도|해도|수심|등심선
56,조석·조류·해류,조석,조석,조석|고조|저조|해수
57,항해·해도·항로표지,해도,해도,해도|조류|풍향|수심
58,선박 조종술 및 운용,운항,운항상식,암초를 피하기|암초|운항|엔진|물때|수심
59,선박 조종술 및 운용,운항,운항상식,유속|수심|운항|탑승
60,구명·조난·소방,소방,화재·소화,화재|연소
61,조석·조류·해류,조석,조석,간조|조차|소조|사리|조금|상현
62,구명·조난·소방,소방,화재·소화,화재|소화기|소화|연소|냉각
63,조석·조류·해류,조류,조류,전류|정지|조류|게류|해면
64,조석·조류·해류,조석,조석,저조|간출암
65,구명·조난·소방,구명설비,구명설비,구명조끼|구명부환|구명뗏목
66,구명·조난·소방,구명설비,구명설비,구명뗏목
67,구명·조난·소방,구명설비,구명설비,구명뗏목|수심|키
68,구명·조난·소방,구명설비,구명설비,구명뗏목
69,구명·조난·소방,사고대응,사고대응,구명뗏목|익수자|전복|예인|바람
70,조석·조류·해류,조석,조석,조석|만조|고조|출항|입항
71,기관 및 정비,윤활계통,윤활계통,선미|침수|윤활|기관|정비|해수
72,응급처치·인명구조,인명구조,익수자 구조,물에 빠|사람이 물에 빠|구명부환|프로펠러|익수자|조종
73,조석·조류·해류,조석,조석,만조|간조|조차|사리|조류|주기
74,항해·해도·항로표지,해도,해도,해도|저질
