id,category,subCategory,detailCategory,tags
1,항해·기상,조석·조류,조류·해류,해류|바람|수심
2,항해·기상,기상,바람·기압,풍향|기압|기상|기온|습도
3,항해·기상,조석·조류,조석,고조|저조|해면|수심|해도
4,항해·기상,기상,바람·기압,바람|기상|안개|기온|습도
5,항해·기상,기상,바람·기압,기압|기상|기온
6,항해·기상,기상,기상,수온|염분
7,항해·기상,조석·조류,조석,조석|소조|조차
8,항해·기상,조석·조류,조류·해류,해류|기상|태풍|기압
9,항해·기상,조석·조류,조석,조석|만조|저조|대조|소조
10,항해·기상,기상,해상기상,안개|전선|이류무|복사무
11,항해·기상,기상,해상기상,풍랑|파고|풍속|경보
12,항해·기상,기상,해상기상,안개|해무|전선|이류무|복사무
13,항해·기상,조석·조류,조류·해류,해류|바람|혼합층
14,항해·기상,기상,바람·기압,풍속|기상
15,항해·기상,조석·조류,조석,조석|저조|해면|수심|해도
16,항해·기상,기상,해상기상,풍랑|파고|풍속|경보
17,항해·기상,기상,기상,염분
18,항해·기상,조석·조류,조류·해류,해류|기상|바람|안개|기온
19,항해·기상,조석·조류,조석,사리
20,항해·기상,기상,해상기상,풍랑|태풍|기상특보|기상|특보
21,항해·기상,조석·조류,조석·조류,바람|태풍|전선|기압|저기압
22,항해·기상,조석·조류,조류·해류,해류|용승|염분|해면|수심
23,항해·기상,조석·조류,조류·해류,해류|기상|바람|기압|고기압
24,항해·기상,기상,바람·기압,바람|풍향|계절풍|해륙풍
25,항해·기상,조석·조류,조류·해류,해류|수온|염분|수온약층|수심
26,항해·기상,기상,바람·기압,기압|전선|기온
27,항해·기상,조석·조류,조류·해류,조류|해류|바람
28,항해·기상,기상,기상,보퍼트
29,항해·기상,기상,해상기상,태풍
30,항해·기상,기상,해상기상,풍랑|너울|파고
31,항해·기상,조석·조류,조류·해류,조류|해류|유향|바람|풍향
32,항해·기상,조석·조류,조류·해류,창조|낙조|정조|게류|조석
33,항해·기상,조석·조류,조석,만조
34,항해·기상,조석·조류,조류·해류,해류|기상|바람|기압|습도
35,항해·기상,조석·조류,조석,조석|수심|해도|수로서지|항행통보
36,항해·기상,조석·조류,조류·해류,조류|해류|바람|풍랑|너울
37,항해·기상,조석·조류,조류·해류,해류
38,항해·기상,조석·조류,조석,조석|만조|저조|조차|조류
39,항해·기상,조석·조류,조석·조류,바람|풍랑|너울|해면
40,항해·기상,기상,바람·기압,기압|고기압
41,항해·기상,조석·조류,조석·조류,수심|해도|등심선|저질|암초
42,항해·기상,조석·조류,조석,조석
43,항해·기상,조석·조류,조류·해류,조류|수심
44,항해·기상,조석·조류,조석,조석|대조|소조|조차
45,항해·기상,기상,바람·기압,바람|기상|보퍼트|해도
46,항해·기상,기상,바람·기압,바람|해륙풍
47,항해·기상,조석·조류,조류·해류,해류|산소 최소층
48,항해·기상,조석·조류,조류·해류,해류|기상|바람|전선|기압
49,항해·기상,조석·조류,조석,고조|저조|조차|해면
50,항해·기상,기상,바람·기압,기압|저기압|전선|돌풍
51,항해·기상,기상,바람·기압,풍속
52,항해·기상,기상,해상기상,풍랑|파고|풍속|주의보
53,항해·기상,기상,바람·기압,풍향|풍속|기압|태풍
54,항해·기상,기상,바람·기압,바람|풍향|계절풍
55,항해·기상,기상,바람·기압,바람|풍향|계절풍|해륙풍
