id,category,subCategory,detailCategory,tags
1,항해·기상,항해,위치선·방위,상대방위
2,항해·기상,기상·해양,조석과조류,만조·간조
3,항해·기상,기상·해양,조석과조류,대조(사리)·소조(조금)
4,항해·기상,기상·해양,기상현상,온난전선
5,항해·기상,기상·해양,기상현상,이류무(해무)·복사무
6,항해·기상,기상·해양,조석과조류,대조(사리)·소조(조금)
7,항해·기상,기상·해양,기상현상,풍랑·너울
8,항해·기상,기상·해양,조석과조류,만조·간조
9,항해·기상,기상·해양,조석과조류,만조·간조
10,항해·기상,기상·해양,조석과조류,창조류·낙조류
11,항해·기상,기상·해양,조석과조류,대조(사리)·소조(조금)
12,항해·기상,항해,위치선·방위,상대방위
13,항해·기상,기상·해양,기압과바람,해륙풍(해풍/육풍)
14,항해·기상,기상·해양,기압과바람,고기압·저기압
15,항해·기상,기상·해양,기상현상,이류무(해무)·복사무
16,항해·기상,기상·해양,기압과바람,계절풍
17,항해·기상,기상·해양,기압과바람,고기압·저기압
18,항해·기상,기상·해양,기상현상,태풍(위험·가항반원)
19,항해·기상,기상·해양,기상현상,태풍(위험·가항반원)
20,법규,해상교통안전법,음향·조난신호,무중신호
21,항해·기상,기상·해양,기상현상,이류무(해무)·복사무
22,항해·기상,기상·해양,기상현상,풍랑·너울
23,안전·응급처치,구명설비,구명장비,구명뗏목(수압이탈장치)
24,안전·응급처치,구명설비,구명장비,구명뗏목(수압이탈장치)
25,안전·응급처치,구명설비,구명장비,구명뗏목(수압이탈장치)
26,안전·응급처치,구명설비,조난신호,신호홍염·발연부신호
27,선박운용,조종술,이접안·계류,계선줄
28,안전·응급처치,구명설비,구명장비,구명조끼(자동/수동)
29,안전·응급처치,구명설비,구명장비,구명조끼(자동/수동)
30,안전·응급처치,구명설비,구명장비,비상탈출용호흡구(EEBD)
31,안전·응급처치,사고대처,비상대처,화재진압(B급/C급)
32,안전·응급처치,사고대처,익수자구조,타력접근법
33,안전·응급처치,사고대처,익수자구조,무동력보트구조
34,안전·응급처치,사고대처,비상대처,좌초·임의좌주
35,안전·응급처치,사고대처,비상대처,좌초·임의좌주
36,안전·응급처치,사고대처,익수자구조,구명환투척법
37,선박운용,조종술,악천후항법,브로칭
38,안전·응급처치,사고대처,익수자구조,타력접근법
39,법규,해상교통안전법,특수수역항법,제한된시계항법
40,선박운용,조종술,악천후항법,스커딩
41,항해·기상,기상·해양,조석과조류,만조·간조
42,선박운용,조종술,악천후항법,히브투·라이투
43,안전·응급처치,사고대처,비상대처,좌초·임의좌주
44,안전·응급처치,구명설비,구명장비,구명부환·드로우백
45,안전·응급처치,사고대처,비상대처,화재진압(B급/C급)
46,안전·응급처치,사고대처,비상대처,좌초·임의좌주
47,안전·응급처치,사고대처,비상대처,좌초·임의좌주
48,안전·응급처치,사고대처,비상대처,선박충돌대처
49,안전·응급처치,사고대처,비상대처,좌초·임의좌주
50,안전·응급처치,사고대처,익수자구조,무동력보트구조
51,선박운용,조종술,특수수역조종,좁은수로조종
52,선박운용,조종술,특수수역조종,좁은수로조종
53,항해·기상,항해,위치선·방위,상대방위
54,항해·기상,기상·해양,조석과조류,창조류·낙조류
55,항해·기상,항해,해도와수로지,등심선·등고선
56,항해·기상,항해,해도와수로지,등심선·등고선
57,항해·기상,항해,해도와수로지,해도기호(저질)
58,선박운용,조종술,특수수역조종,천수효과(스쿼트)
59,안전·응급처치,사고대처,비상대처,선박충돌대처
60,안전·응급처치,사고대처,비상대처,화재진압(B급/C급)
61,항해·기상,기상·해양,조석과조류,대조(사리)·소조(조금)
62,안전·응급처치,사고대처,비상대처,화재진압(B급/C급)
63,항해·기상,기상·해양,조석과조류,정조·게류
64,항해·기상,항해,해도와수로지,암초(간출/노출)
65,안전·응급처치,구명설비,구명장비,구명조끼(자동/수동)
66,안전·응급처치,구명설비,구명장비,구명뗏목(수압이탈장치)
67,안전·응급처치,구명설비,구명장비,구명뗏목(수압이탈장치)
68,안전·응급처치,구명설비,구명장비,구명뗏목(수압이탈장치)
69,안전·응급처치,구명설비,구명장비,구명뗏목(수압이탈장치)
70,항해·기상,기상·해양,조석과조류,만조·간조
71,안전·응급처치,사고대처,비상대처,침수·좌초(임의좌주)
72,안전·응급처치,사고대처,익수자구조,타력접근법
73,항해·기상,기상·해양,조석과조류,만조·간조
74,항해·기상,항해,해도와수로지,해도기호(저질)
75,항해·기상,기상·해양,조석과조류,대조(사리)·소조(조금)
76,항해·기상,항해,해도와수로지,암초(간출/노출)
77,항해·기상,기상·해양,기상현상,이류무(해무)·복사무
78,항해·기상,기상·해양,기상현상,이류무(해무)·복사무
79,항해·기상,기상·해양,기압과바람,계절풍
80,항해·기상,기상·해양,기압과바람,고기압·저기압
81,항해·기상,항해,위치선·방위,중시선
82,항해·기상,기상·해양,기압과바람,계절풍
83,항해·기상,기상·해양,기압과바람,해륙풍(해풍/육풍)
84,항해·기상,기상·해양,조석과조류,창조류·낙조류
85,항해·기상,기상·해양,기압과바람,해륙풍(해풍/육풍)
86,항해·기상,기상·해양,기상현상,이류무(해무)·복사무
87,항해·기상,기상·해양,기상현상,풍랑·너울
88,항해·기상,기상·해양,기상현상,풍랑·너울
89,선박운용,조종술,이접안·계류,계선줄
90,안전·응급처치,응급처치,일반구급,지혈(직접압박/지혈대)
91,안전·응급처치,응급처치,일반구급,골절(부목)
92,안전·응급처치,응급처치,일반구급,화상(2도/3도/흡입)
93,안전·응급처치,응급처치,일반구급,저체온증·동상
94,안전·응급처치,응급처치,일반구급,지혈(직접압박/지혈대)
95,안전·응급처치,응급처치,일반구급,지혈(직접압박/지혈대)
96,안전·응급처치,응급처치,심폐소생술(CPR),가슴압박(깊이/속도)
97,안전·응급처치,응급처치,일반구급,지혈(직접압박/지혈대)
98,안전·응급처치,응급처치,심폐소생술(CPR),인공호흡
99,안전·응급처치,응급처치,심폐소생술(CPR),가슴압박(깊이/속도)
100,안전·응급처치,응급처치,일반구급,화상(2도/3도/흡입)
101,안전·응급처치,응급처치,일반구급,저체온증·동상
102,안전·응급처치,응급처치,심폐소생술(CPR),자동심장충격기(AED)
103,안전·응급처치,응급처치,일반구급,화상(2도/3도/흡입)
104,안전·응급처치,응급처치,심폐소생술(CPR),자동심장충격기(AED)
105,안전·응급처치,응급처치,심폐소생술(CPR),인공호흡
106,안전·응급처치,응급처치,심폐소생술(CPR),의식·호흡확인
107,안전·응급처치,응급처치,일반구급,저체온증·동상
108,안전·응급처치,응급처치,일반구급,저체온증·동상
109,안전·응급처치,응급처치,일반구급,화상(2도/3도/흡입)
110,안전·응급처치,응급처치,심폐소생술(CPR),의식·호흡확인
