공간정보일련번호,공간정보,포인트명1,포인트명2,수심범위내용,주원료내용,조수물때내용,낚시방법대상내용,선상낚시포인트도분초위도,선상낚시포인트도분초경도,고시내용,행정구역명
1,POINT (1045426.59078444 1658004.10693042),남해도 동부·신수도·창선도,벽재마을앞입표부근해상,3.5~16.4,암,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-54-56.9N,127-59-50.3E,,경상남도 남해군
2,POINT (1102964.80288829 1664870.29635754),칠천도·가조도,슬응도부근해상,11.6~13.8,펄/ 조개껍질,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶갑오징어 - 에깅▶도다리 - 원투▶볼락 - 릴찌/ 장대/ 루어,34-58-24.6N,128-37-40.7E,,경상남도 거제시
3,POINT (1296009.74497658 1944985.66208473),울릉도,남양항부근해상,14.2~22.5,암,들물~초썰물,▶참돔 - 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅▶벵에돔 - 목줄/ 장대/ 부력/ 잠수,37-27-24.2N,130-50-47.3E,,경상북도 울릉군
4,POINT (947356.113301875 1503742.78332737),제주도 북동부·우도,반다여부근,7.7~10.0,암,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-31-27.5N,126-55-59.1E,,제주특별자치도 제주시
5,POINT (788757.350389528 1639031.63733239),홍도,모도부근,4.1~7.2m,암,조금 전후,▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-43-25.977N,125-11-34.794E,,전라남도 신안군
6,POINT (877864.52893697 1699876.89136593),송이도,양골앞바다,1.5~1.7,암,들물/날물,▶감성돔 - 릴찌/ 장대/ 원투▶민어 - 루어/ 지깅/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶농어 - 루어/ 릴찌▶붕장어 - 원투▶우럭 - 릴찌/ 원투,35-17-13.0N,126-09-24.8E,,전라남도 영광군
7,POINT (887989.11050487 1666548.26183811),고이도·매화도·선도·증도,선도선창부근해상,0~2.0,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶광어 - 릴찌/ 원투▶숭어 - 릴찌/ 장대/ 훌치기▶우럭 - 릴찌/ 원투▶붕장어 - 원투▶도다리 - 원투▶농어 - 루어/ 릴찌,34-59-15.6N,126-16-21.8E,,전라남도 신안군
8,POINT (894371.659418095 1658014.59826388),압해도,효지도철탑아래해상,0.1~0.7,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어 ▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투,34-54-41.1N,126-20-37.4E,,전라남도 신안군
9,POINT (778018.813863156 1569808.83770503),가거도,오동여/검등여사이부근해상,10.5~12.3,암,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 릴찌▶농어 - 루어▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 루어/ 릴찌/ 장대/ 원투▶돌돔 - 릴찌 ▶부시리 - 루어,34-05-52.4N,125-05-37.5E,,전라남도 신안군
10,POINT (957825.379580119 1604331.31406576),금당도,서방여부근,5.4~13.6,암,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌▶도다리 - 원투▶학꽁치 - 릴찌/ 장대,34-25-55.0N,127-02-27.5E,,전라남도 완도군
11,POINT (1022938.49321304 1620918.84833001),돌산도,화태도대횡간도사이입표부근,-0.9~14,펄,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투,34-34-55.7N,127-45-00.4E,,전라남도 여수시
12,POINT (1026189.44013057 1633424.27087276),돌산도,내치도부근해상,0.7~4.7,펄,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투,34-41-41.4N,127-47-09.4E,,전라남도 여수시
13,POINT (1029853.75517302 1656661.61234994),남해도 북부,난초섬부근,3.3~8.5,암,초들물~중날,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-54-15.4N,127-49-36.4E,,경상남도 남해군
14,POINT (1036951.4990975 1635934.66828281),남해도 남부,가천마을앞바다,21.9~24.0,암,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-43-01.7N,127-54-12.8E,,경상남도 남해군
15,POINT (1049705.75825059 1633413.25317591),남해도 남부,조도부근해상,22.6~24.3,모래/ 조개껍질,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-41-37.9N,128-2-33.7E,,경상남도 남해군
16,POINT (1062072.30219833 1635515.20049562),두미도,고운마을앞해상,60,펄,상관없음,▶감성돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어,34-42-43.7N,128-10-40.3E,,경상남도 통영시
17,POINT (877387.633817287 1582491.87447702),독거군도 부근,간암여해상,23.5~29m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 광어 - 릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-13-43.038N,126-10-07.478E,,전라남도 진도군
18,POINT (891764.868198976 1548296.72734999),추자군도,하추자도와청도사이,20.2~21m,암,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-55-18.776N,126-19-44.631E,,제주특별자치도 제주시
37,POINT (903375.81615311 1898950.16561327),풍도·난지도,풍도남동측바다,26m~28m,모래,사리 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,37-05-03.1N,126-24-46.3E,,경기도 안산시
19,POINT (967971.165062666 1578844.25138539),황제도,소마도해상,22~26m,암,조금 전후/ 2~3물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 광어  -  릴찌/ 원투▶ 볼락  -  릴찌/ 장대/ 루어,34-12-08.854N,127-09-08.444E,,전라남도 완도군
20,POINT (996896.883448697 1582326.9703081),간수제도,갈퀴섬해상,14.8~29.5m,펄/ 모래,사리를 피한 조금 이후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 삼치  -  루어/ 릴찌▶ 문어  -  루어,34-14-03.684N,127-27-58.697E,,전라남도 여수시
21,POINT (1050397.0600807 1659361.65839075),진주만 부근,삼천포대교밑,10.4~11.1m,암,13물-4물/ 초들물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 농어  -  루어/ 릴찌▶ 도다리  -  원투▶ 갑오징어  -  에깅,34-55-40.123N,128-03-06.478E,,경상남도 고성군
22,POINT (1077797.92863656 1629024.40851285),연화도 부근,연화항부근해상,9.7~18m,암,초들물/ 초날물/ 5물~6물/ 조금,▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 농어 - 루어/ 릴찌,34-39-09.128N,128-20-56.329E,,경상남도 통영시
23,POINT (808717.858365377 1637162.6487013),흑산도·삼태도,대흑산도호장도부근,26.5m~30m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶넙치 - 루어/ 원투▶농어 - 루어/ 릴찌 ▶돌돔 - 릴찌/ 장대/ 원투▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-42-39.5N,125-24-40.6E,,전라남도 신안군
24,POINT (1062663.19453728 1635408.30170235),두미도,북구마을앞해상,60,펄,상관없음,▶감성돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어,34-42-40.1N,128-11-03.5E,,경상남도 통영시
25,POINT (893106.909814407 1763557.6412033),말도·방축도,말도등대앞바다,26m~30.5m,모래/ 조개껍질,들물/ 썰물 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶도다리 - 원투 ▶우럭 - 릴찌/ 원투,35-51-45.9N,126-18-57.8E,,전라북도 군산시
26,POINT (939025.917370826 1579367.88002043),청산도·대모도,장도부근,19m~20m,조개껍질/ 펄,4물~사리,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-12-21.2N,126-50-17.3E,,전라남도 완도군
27,POINT (1100569.44765422 1624834.83102067),비진도·매물도,소매물도등가도부근,38m~42m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶우럭 - 릴찌/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶참돔 - 부력/ 잠수,34-36-46.0N,128-35-49.0E,,경상남도 통영시
28,POINT (1023135.08179136 1623805.55506282),돌산도,밤섬남측해상,4.5~10.7,펄,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투,34-36-29.4N,127-45-08.4E,,전라남도 여수시
29,POINT (906234.903751785 1470577.56177796),제주도 남부,강정포구앞노란부표부근,14.6~18.0,암,초들물~중날물,▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶한치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶독가시치 - 목줄/ 장대/ 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅▶우럭 - 릴찌/ 원투,33-13-20.6N,126-29-37.5E,,제주특별자치도 서귀포시
