"id","name","type","region","city","address","lat","lng","targetFish","tideNote","depthNote","bottomNote","methodNote","safetyStatus","sourceType","sourceUrl","sourceCheckedAt","originalId","originalPoint","note"
"boat-1","남해도 동부·신수도·창선도 - 벽재마을앞입표부근해상","boat-fishing-point","경상남도","남해군","경상남도 남해군","34.915806","127.997306","참돔|농어|노래미|볼락|우럭","초들물~중날물","3.5~16.4","암","▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","1","POINT (1045426.59078444 1658004.10693042)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-2","칠천도·가조도 - 슬응도부근해상","boat-fishing-point","경상남도","거제시","경상남도 거제시","34.973500","128.627972","감성돔|노래미|갑오징어|도다리|볼락","초들물~중날물","11.6~13.8","펄/ 조개껍질","▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶갑오징어 - 에깅▶도다리 - 원투▶볼락 - 릴찌/ 장대/ 루어","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","2","POINT (1102964.80288829 1664870.29635754)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-3","울릉도 - 남양항부근해상","boat-fishing-point","경상북도","울릉군","경상북도 울릉군","37.456722","130.846472","참돔|부시리|벵에돔","들물~초썰물","14.2~22.5","암","▶참돔 - 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅▶벵에돔 - 목줄/ 장대/ 부력/ 잠수","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","3","POINT (1296009.74497658 1944985.66208473)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-4","제주도 북동부·우도 - 반다여부근","boat-fishing-point","제주특별자치도","제주시","제주특별자치도 제주시","33.524306","126.933083","참돔|돌돔|볼락|벵에돔|무늬오징어|독가시치","들물/날물","7.7~10.0","암","▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶무늬오징어 - 에깅▶독가시치 - 목줄/ 장대/ 부력/ 잠수","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","4","POINT (947356.113301875 1503742.78332737)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-5","홍도 - 모도부근","boat-fishing-point","전라남도","신안군","전라남도 신안군","34.723883","125.192998","참돔|돌돔|감성돔|우럭|농어","조금 전후","4.1~7.2m","암","▶ 참돔 - 부력/ 잠수▶ 돌돔 - 릴찌/ 장대/ 원투▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","5","POINT (788757.350389528 1639031.63733239)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-6","송이도 - 양골앞바다","boat-fishing-point","전라남도","영광군","전라남도 영광군","35.286944","126.156889","감성돔|민어|숭어|농어|붕장어|우럭","들물/날물","1.5~1.7","암","▶감성돔 - 릴찌/ 장대/ 원투▶민어 - 루어/ 지깅/ 원투▶숭어 - 릴찌/ 장대/ 홀치기▶농어 - 루어/ 릴찌▶붕장어 - 원투▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","6","POINT (877864.52893697 1699876.89136593)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-7","고이도·매화도·선도·증도 - 선도선창부근해상","boat-fishing-point","전라남도","신안군","전라남도 신안군","34.987667","126.272722","감성돔|노래미|광어|숭어|우럭|붕장어|도다리|농어","초들물~중날물","0~2.0","펄","▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶광어 - 릴찌/ 원투▶숭어 - 릴찌/ 장대/ 훌치기▶우럭 - 릴찌/ 원투▶붕장어 - 원투▶도다리 - 원투▶농어 - 루어/ 릴찌","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","7","POINT (887989.11050487 1666548.26183811)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-8","압해도 - 효지도철탑아래해상","boat-fishing-point","전라남도","신안군","전라남도 신안군","34.911417","126.343722","감성돔|노래미|농어|볼락|붕장어|우럭","초들물~중날물","0.1~0.7","펄","▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어 ▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","8","POINT (894371.659418095 1658014.59826388)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-9","가거도 - 오동여/검등여사이부근해상","boat-fishing-point","전라남도","신안군","전라남도 신안군","34.097889","125.093750","감성돔|노래미|참돔|농어|볼락|우럭|돌돔|부시리","초들물~중날물","10.5~12.3","암","▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 릴찌▶농어 - 루어▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 루어/ 릴찌/ 장대/ 원투▶돌돔 - 릴찌 ▶부시리 - 루어","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","9","POINT (778018.813863156 1569808.83770503)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-10","금당도 - 서방여부근","boat-fishing-point","전라남도","완도군","전라남도 완도군","34.431944","127.040972","감성돔|볼락|노래미|농어|도다리|학꽁치","초들물~중날물","5.4~13.6","암","▶감성돔 - 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌▶도다리 - 원투▶학꽁치 - 릴찌/ 장대","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","10","POINT (957825.379580119 1604331.31406576)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
"boat-11","돌산도 - 화태도대횡간도사이입표부근","boat-fishing-point","전라남도","여수시","전라남도 여수시","34.582139","127.750111","참돔|농어|노래미|볼락|우럭|붕장어","초들물~중날물","-0.9~14","펄","▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투","needs-check","MOF_SHARED_BOAT_FISHING_POINT","https://www.data.go.kr/data/15148435/fileData.do","2026-07-11","11","POINT (1022938.49321304 1620918.84833001)","공식 선상낚시포인트 데이터 기반. 실제 출조 가능 여부는 선사 및 현장 통제를 확인해야 함."
