공간정보일련번호,공간정보,포인트지역명,포인트명,수심범위내용,주원료내용,조수물때내용,낚시방법대상내용,갯바위낚시포인트도분초위도,갯바위낚시포인트경도,행정구역명
300,POINT (879836.679920866 1630479.07465587),장산도,차돌이,2.1~5.0,암,조금 전후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌 ▶붕장어 - 원투,34-39-41.6N,,전라남도 신안군
301,POINT (874185.5313562091 1597038.32569831),진도 남서부,백미도 부근 갯바위,2.4~3.2,암,초들물~중날물,▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶갑오징어 - 에깅 ▶볼락 - 릴찌/ 장대/ 루어▶부시리 - 부력/ 잠수/ 지깅 ▶농어 - 루어/ 릴찌 ▶노래미 - 루어/ 릴찌/ 장대/ 원투,34-21-33.8N,,전라남도 진도군
302,POINT (863405.5991566869 1589718.07776419),상조도·하조도·관매도,하조도 물치끝(낚시배 이용),0.1~3.,암,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶참돔 - 부력/ 잠수 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶돌돔 - 원투/ 민장대/ 릴찌 ▶도다리 - 원투 ▶우럭 - 릴찌/ 원투,34-17-31.3N,,전라남도 진도군
303,POINT (777428.42998948 1567069.88749999),가거도,노랑섭날 갯바위,3.0~9.7,암,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶참돔 - 릴찌 ▶농어 - 루어▶볼락 - 릴찌/ 장대/ 루어 ▶우럭 - 루어/ 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌 ▶부시리 - 루어,34-04-23.1N,,전라남도 신안군
304,POINT (777065.1928965121 1571992.35865861),가거도,대국흘도 갯바위,6.0~11.6,암,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶참돔 - 릴찌 ▶농어 - 루어▶볼락 - 릴찌/ 장대/ 루어 ▶우럭 - 루어/ 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌 ▶부시리 - 루어,34-07-02.5N,,전라남도 신안군
305,POINT (921179.312646607 1592937.55295865),완도,칠암각 갯바위,3.6~4.6,펄/ 조개껍질,초들물~중날물,▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶농어 - 루어/ 릴찌▶감성돔 - 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶붕장어 - 원투,34-19-37.4N,,전라남도 완도군
306,POINT (957422.855566604 1603932.71223452),금당도,육산리 해변,1.2~1.6,모래,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌▶도다리 - 원투▶학공치 - 릴찌/ 장대,34-25-42.0N,,전라남도 완도군
307,POINT (974629.991306861 1581123.06242902),초도,내항도,0.1~2.5,펄,초들물~중날물,▶참돔 - 부력/ 잠수▶뱅어돔 - 목줄/ 장대/ 부력/ 잠수▶볼락 - 릴찌/ 장대/ 루어▶감성돔 - 릴찌/ 장대/ 원투▶돌돔 - 민장대/ 릴찌/ 원투▶농어 - 루어/ 릴찌,34-13-23.5N,,전라남도 여수시
308,POINT (1053045.64399178 1655112.44073292),남해도 동부·신수도·창선도,신수도 남쪽 갯바위(구 초소),0.2~0.6,암,초들물~중날물,▶볼락 - 릴찌/ 장대/ 루어 ▶갑오징어 - 에깅 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투,34-53-21.7N,,경상남도 사천시
309,POINT (1063648.21653941 1632747.31907966),두미도,용머리,0.4~3.0,펄,상관없음,▶감성돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶노래미 - 루어/ 릴찌/ 장대/ 원투▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어,34-41-13.5N,,경상남도 통영시
310,POINT (1295738.66635058 1954258.67637407),울릉도,코끼리바위 갯바위,3.5~5.0,암,들물~초썰물,▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶참돔 - 부력/ 잠수,37-32-24.9N,,경상북도 울릉군
311,POINT (873370.8222709581 1855829.90043873),가의도,북측 끝단 갯바위,4.0~7.0,펄/ 모래,상관없음,▶우럭 - 릴찌/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶고등어 - 루어/ 릴찌/ 장대▶광어 - 릴찌/ 원투▶주꾸미 - 릴찌/ 원투/ 장대▶학공치 - 릴찌/ 장대,36-41-31.3N,,충청남도 태안군
312,POINT (932194.361904479 1579935.30251934),청산도·대모도, 대모도 북곧말 갯바위,2.7m~5m,펄/ 모래/ 조개껍질,4물~사리,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대,34-12-38.1N,,전라남도 완도군
313,POINT (908756.0416991861 1503476.64108392),제주도 북서부,라마다호텔 앞 해안도로 좌측,1.5~2.0,암,들물/썰물,▶노래미 - 루어/ 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶한치 - 루어/ 원투▶돌돔 - 민장대/ 릴찌/ 원투▶참돔 - 릴찌/ 장대/ 원투/ 부력/ 잠수,33-31-09.5N,,제주특별자치도 제주시
314,POINT (911329.395846517 1472270.06057216),제주도 남부,황우리해안 갯바위,0.6~7.9,암,초들물~중날물,▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶한치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶독가시치 - 목줄/ 장대/ 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅▶우럭 - 릴찌/ 원투,33-14-17.1N,,제주특별자치도 서귀포시
315,POINT (787789.981620714 1635112.24407751),홍도,도달바위 인근,2.9~4.5m,암,사리 전후/ 초들물/ 만조 전후,▶ 참돔 - 부력/ 잠수▶ 돌돔 - 릴찌/ 장대/ 원투▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌,34-41-18.119N,,전라남도 신안군
316,POINT (812322.786997861 1581779.42946034),만재도,외마도 상단,10.5~14m,암,조금 전후,▶ 돌돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌▶ 볼락 - 릴찌/ 장대/ 루어▶ 문어 - 루어,34-12-45.000N,,전라남도 신안군
317,POINT (872531.0831436851 1585767.81736039),독거군도 부근,죽항 담추서,3.9~8.2m,조개껍질,조금 전후,▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 돌돔 - 릴찌/ 장대/ 원투▶ 광어-릴찌/ 원투▶ 농어 - 루어/ 릴찌,34-15-27.265N,,전라남도 진도군
318,POINT (962521.0852976781 1622563.06943012),득량만 부근,득량도 좌측,1.8~3.5m,펄,4물~12물/ 들물,▶ 감성돔 - 릴찌/ 장대/ 원투▶ 농어 - 루어/ 릴찌▶ 우럭 - 릴찌/ 원투▶ 노래미 - 루어/ 릴찌/ 장대/ 원투▶ 도다리 - 원투▶ 학공치 - 릴찌/  장대,34-35-47.538N,,전라남도 고흥군
415,POINT (876793.02239707 1631711.60214478),장산도,발막금,0.1~2.0,자갈,조금 전후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌 ▶붕장어 - 원투,34-40-20.3N,,전라남도 신안군
11,POINT (889461.300453403 1909893.4104374),이작도·승봉도,대이작도 오형제바위,3m~5m,펄/ 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-10-52.6N,,인천광역시 옹진군
1,POINT (995751.214631793 1616628.36812734),나로도,내나로도 구룡마을 갯바위,1.5m~2.4m,펄,초들물~만조,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶볼락 - 루어/ 릴찌/ 장대 ▶우럭 - 릴찌/ 원투,34-32-37.3N,,전라남도 고흥군
2,POINT (881330.922569344 1491841.76728277),제주도 서부·차귀도·비양도,비양도 북측 큰여,0.1~1.6,모래/ 조개껍질,들물/썰물,▶감성돔 - 릴찌/ 장대/ 원투▶벤자리 - 릴찌/ 민장대▶삼치 - 루어/ 릴찌▶방어 - 부력/ 잠수/ 지깅▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶한치 - 루어/ 원투,33-24-42.1N,,제주특별자치도 제주시
3,POINT (907871.036256252 1503198.60694467),제주도 북서부,용두암 낚시터,0~4.5,암,들물/썰물,▶감성돔 - 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌▶돌돔 - 민장대/ 릴찌/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶참돔 - 부력/ 잠수▶고등어 - 루어/ 릴찌/ 장대▶독가시치 - 목줄/ 장대/ 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅,33-31-00.2N,,제주특별자치도 제주시
4,POINT (946930.004446574 1493800.32258011),제주도 동부,방두곶 좌측 갯바위,0.9~4.1,암,들물/날물,▶참돔 - 부력/ 잠수 ▶돌돔 - 민장대/ 릴찌/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶무늬오징어 - 에깅 ▶독가시치 - 목줄/ 장대/ 부력/ 잠수,33-26-04.6N,,제주특별자치도 서귀포시
5,POINT (922103.864025046 1472245.67000376),제주도 남동부,가막코지 갯바위,0.2~1.2,암,들물/날물,▶참돔 - 부력/ 잠수 ▶돌돔 - 민장대/ 릴찌/ 원투 ▶다금바리 - 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶부시리 - 부력/ 잠수/ 지깅,33-14-19.3N,,제주특별자치도 서귀포시
6,POINT (753006.892115453 1982245.89821003),대청도·소청도,대청도 기름아가리(기름바다),1.9m~2.4m,모래,사리 전후 ,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶삼치 - 루어/ 릴찌▶쏨뱅이 - 루어/ 릴찌 ▶우럭 - 루어/ 릴찌,37-48-23.6N,,인천광역시 옹진군
7,POINT (751765.590655716 1984026.67393515),대청도·소청도,대청도 지두리해변 갯바위,1.4m~2m,모래/ 조개껍질,사리 전후 ,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶쏨뱅이 - 루어/ 릴찌▶우럭 - 루어/ 릴찌,37-49-20.1N,,인천광역시 옹진군
8,POINT (892909.259514525 1919573.42260192),자월도,마바위,1.2m~1.9m,모래,들물/ 날물,▶넙치 - 루어/ 원투 ▶우럭 - 릴찌/ 원투,37-16-08.1N,,인천광역시 옹진군
9,POINT (896266.725303098 1916976.03679501),자월도,분모골,1.3m~3m,조개껍질/ 펄,들물,▶넙치 - 루어/ 원투 ▶우럭 - 릴찌/ 원투,37-14-45.2N,,인천광역시 옹진군
10,POINT (892688.256296221 1918087.49335332),자월도,항도(목섬) 부근,1.2m~2m,모래,들물,▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투,37-15-19.8N,,인천광역시 옹진군
12,POINT (891072.843291799 1907499.04096221),이작도·승봉도,대이작도 토끼바위 부근,3m~5m,펄/ 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-09-35.6N,,인천광역시 옹진군
