id,name,type,region,city,address,phone,availableLicenses,sourceUrl,sourceCheckedAt,note,status
seoul-mapo-exemption-education,서울(마포),exemption-education,서울,마포구,서울특별시 마포구 마포나루길 256,02-304-5900,general,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 확인,active
seoul-seocho-banpo-exemption-education,서울서초(반포),exemption-education,서울,서초구,서울특별시 서초구 올림픽대로 2085-18,1522-1477,general,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 확인,active
seoul-yacht-seocho-exemption-education,서울요트(서초),exemption-education,서울,서초구,서울특별시 서초구 올림픽대로 2085-18,1522-1477,yacht,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 요트 명칭으로 확인,active
gyeonggi-yacht-hwaseong-exemption-education,경기요트(화성),exemption-education,경기,화성시,"경기도 화성시 서신면 전곡항로 14번길, 1-26",031-366-8825,yacht,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 요트 명칭으로 확인,active
gyeonggi-yacht-gimpo-exemption-education,경기요트(김포),exemption-education,경기,김포시,경기도 김포시 고촌읍 아라육로 270번길 73,031-999-7843,yacht,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 요트 명칭으로 확인,active
gyeonggi-ansan-exemption-education,경기(안산),exemption-education,경기,안산시,경기도 안산시 단원구 선감동 대부황금로 7,031-406-3388,general,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 확인,active
gyeonggi-yacht-ansan-exemption-education,경기요트(안산),exemption-education,경기,안산시,경기도 안산시 단원구 선감동 대부황금로 7,031-406-3388,yacht,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 요트 명칭으로 확인,active
gyeonggi-siheung-exemption-education,경기(시흥),exemption-education,경기,시흥시,경기도 시흥시 거북섬5길 16,031-496-0022,general,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 확인,active
gyeonggi-yacht-siheung-exemption-education,경기요트(시흥),exemption-education,경기,시흥시,경기도 시흥시 거북섬5길 16,031-496-0022,yacht,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 요트 명칭으로 확인,active
chungnam-taean-exemption-education,충남(태안),exemption-education,충남,태안군,충청남도 태안군 남면 곰섬로 314,041-674-8101,general,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 확인,active
chungnam-yacht-taean-exemption-education,충남요트(태안),exemption-education,충남,태안군,충청남도 태안군 남면 곰섬로 314,041-674-8101,yacht,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 요트 명칭으로 확인,active
chungbuk-chungju-exemption-education,충북(충주),exemption-education,충북,충주시,충청북도 충주시 동량면 미라실로 763,043-856-3119,general,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,공식 전국 면허시험장 안내의 면제교육기관(교육장) 목록에서 확인,active
