id,name,type,region,city,address,normalizedAddress,lat,lng,geocodingStatus,geocodingSource,sourceUrl,sourceCheckedAt,geocodingCheckedAt,geocodingNote
gangwon-donghae-pc-written-test,강원(동해)PC,written-test,강원,동해시,강원도 동해시 임항로 29 동해해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gangwon-sokcho-pc-written-test,강원(속초)PC,written-test,강원,속초시,강원도 속초시 동명항길 35 속초해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeonggi-gapyeong-special-written-test,경기(가평),written-test,경기,가평군,경기도 가평군 호반로 162,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeonggi-gimpo-pc-written-test,경기(김포)PC,written-test,경기,김포시,경기도 김포시 고촌읍 아라육로270번길 74,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeonggi-ansan-pc-written-test,경기(안산)PC,written-test,경기,안산시,경기도 안산시 단원구 대부황금로 1569 안산파출소,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeonggi-yeoju-special-written-test,경기(여주),written-test,경기,여주시,경기도 여주시 강변북로 163,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeonggi-pyeongtaek-pc-written-test,경기(평택)PC,written-test,경기,평택시,경기도 평택시 포승읍 서동대로437-27 평택해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeongnam-sacheon-pc-written-test,경남(사천)PC,written-test,경남,사천시,경상남도 사천시 용현면 시청1길 59 사천해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeongnam-changwon-pc-written-test,경남(창원)PC,written-test,경남,창원시,경상남도 창원시 마산합포구 신포동1가 86-2 창원해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeongnam-tongyeong-pc-written-test,경남(통영)PC,written-test,경남,통영시,경상남도 통영시 광도면 죽림2로 45 통영해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeongnam-hapcheon-special-written-test,경남(합천),written-test,경남,합천군,경상남도 합천군 봉산면 서부로 4270-8,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeongbuk-andong-pc-written-test,경북(안동),written-test,경북,안동시,경상북도 안동시 석주로 514,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeongbuk-andong-special-written-test,경북(안동),written-test,경북,안동시,경상북도 안동시 석주로 514,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeongbuk-uljin-pc-written-test,경북(울진),written-test,경북,울진군,"경상북도 울진군 후포면 후포로 72, 3층",,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
gyeongbuk-pohang-pc-written-test,경북(포항)PC,written-test,경북,포항시,경상북도 포항시 북구 소티재로 151번길 21 포항해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
busan-yeongdo-pc-written-test,부산(영도)PC,written-test,부산,영도구,"부산광역시 영도구 해양로 53, 부산해양경찰서 청학출장소",,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
busan-haeundae-pc-written-test,부산(해운대)PC,written-test,부산,해운대구,"부산광역시 해운대구 마린시티1로 178, 부산해양경찰서 동백출장소",,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
seoul-yeongdeungpo-pc-written-test,서울(영등포)PC,written-test,서울,영등포구,서울특별시 영등포구 여의서로 120,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
ulsan-namgu-pc-written-test,울산(남구)PC,written-test,울산,남구,울산광역시 남구 신선로 20(선암동 717) 울산해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
incheon-cheongna-pc-written-test,인천(청라)PC,written-test,인천,서구,인천광역시 서구 청라루비로 96 인천해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
jeonnam-goheung-pc-written-test,전남(고흥)PC,written-test,전남,고흥군,"전라남도 고흥군 풍양면 천마로 1418-17, 풍남출장소",,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
jeonnam-mokpo-pc-written-test,전남(목포)PC,written-test,전남,목포시,"전라남도 목포시 청호로 231, 목포해양경찰서",,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
jeonnam-yeosu-pc-written-test,전남(여수)PC,written-test,전남,여수시,전라남도 여수시 문수로 111 여수해양경찰서 민원동1층,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
jeonnam-wando-pc-written-test,전남(완도)PC,written-test,전남,완도군,"전라남도 완도군 완도읍 중앙길 93, 1층 완도해양경찰서",,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
jeonbuk-gunsan-pc-written-test,전북(군산)PC,written-test,전북,군산시,전라북도 군산시 군산창길 21 군산해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
jeonbuk-buan-pc-written-test,전북(부안)PC,written-test,전북,부안군,전라북도 부안군 행안면 부안로 2531 부안해양경찰서 교통레저계,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
jeju-seogwipo-pc-written-test,제주(서귀포)PC,written-test,제주,서귀포시,제주특별자치도 서귀포시 서호남로 11 서귀포해양경찰서,,,,pending,,https://boat.kcg.go.kr/home/custCnter/ntcInfo/infoView4.do,2026-06-19,,
