id,name,type,region,city,address,phone,availableLicenses,sourceUrl,sourceCheckedAt,note,status
seoul-mapo-safety-education,서울(마포),safety-education,서울,마포구,서울특별시 마포구 마포나루길 256,02-304-5900,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
seoul-yanghwa-safety-education,서울(양화),safety-education,서울,영등포구,서울특별시 영등포구 당산동 100-2,02-2039-2346,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
seoul-seocho-banpo-safety-education,서울서초(반포),safety-education,서울,서초구,서울특별시 서초구 올림픽대로 2085-18,1522-1477,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
seoul-yacht-mapo-safety-education,서울요트(마포),safety-education,서울,마포구,서울특별시 마포구 마포나루길 256,02-304-5900,yacht,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 요트 명칭으로 확인,active
gyeonggi-gapyeong-safety-education,경기(가평),safety-education,경기,가평군,경기도 가평군 청평면 호반로 162,031-584-5700,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
gyeonggi-siheung-safety-education,경기(시흥),safety-education,경기,시흥시,경기도 시흥시 거북섬5길 16 거북섬프라자 201호,031-496-9921,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
gyeonggi-yeoju-safety-education,경기(여주),safety-education,경기,여주시,경기도 여주시 강변북로 163,031-880-4084,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
chungnam-asan-safety-education,충남(아산),safety-education,충남,아산시,충청남도 아산시 신정호길 15-14,041-541-9423,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
chungbuk-chungju-safety-education,충북(충주),safety-education,충북,충주시,충청북도 충주시 동량면 미라실로 763,043-856-3119,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
chungnam-taean-safety-education,충남(태안),safety-education,충남,태안군,충청남도 태안군 남면 곰섬로 314,041-674-8101,general,https://boat.kcg.go.kr/home/wtrcSafeEdu/safeEduGdnc/infoView4.do,2026-06-19,공식 전국 교육장 안내에서 확인,active
